"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K003","Transports i serveis relacionats","RENFE","422299.939","4579108.263","422208.082","4578907.36","2.06998","41.357914","RENFE - CORNELLÀ-","","","","","",""
"K003","Transports i serveis relacionats","RENFE","435794.449","4586358.754","435702.469","4586157.78","2.230523","41.424408","RENFE - SANT ADRIÀ DEL BESÒS-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","424236.71","4581198.968","424144.835","4580998.045","2.09287","41.376929","TRAMVIA (T1,T2,T3) - CAN CLOTA-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","423218.517","4580378.811","423126.651","4580177.896","2.080799","41.369445","TRAMVIA (T1,T2,T3) - MONTESA-","","","","","",""
"K011","Transports i serveis relacionats","Tramvia","428445.223","4582849.882","428353.31","4582648.943","2.142997","41.392183","TRAMVIA (T1,T2,T3) - FRANCESC MACIÀ-","04","19","Les Corts","les Corts","",""
"K011","Transports i serveis relacionats","Tramvia","427073.148","4582399.345","426981.247","4582198.41","2.126641","41.388002","TRAMVIA (T1,T2,T3) - Mª CRISTINA-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K011","Transports i serveis relacionats","Tramvia","426053.88","4582016.276","425961.989","4581815.345","2.114498","41.384459","TRAMVIA (T1,T2,T3) - ZONA UNIVERSITÀRIA-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K011","Transports i serveis relacionats","Tramvia","422081.516","4581533.172","421989.661","4581332.247","2.067057","41.379733","TRAMVIA (T3) - WALDEN-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426542.726","4581057.471","426450.83","4580856.549","2.120461","41.375868","Collblanc (Travessera de les Corts)-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428147.241","4581448.849","428055.33","4581247.923","2.139599","41.379538","Sants Estació (Estació RENFE / Pl. Joan Peiró)-","03","18","Sants-Montjuïc","Sants","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430393.234","4583531.011","430301.303","4583330.065","2.166217","41.398489","Verdaguer (Avinguda Diagonal)-","02","07","Eixample","la Dreta de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431001.793","4584076.772","430909.857","4583875.82","2.173434","41.403457","Sagrada Família (Plaça de la Sagrada Família)-","02","06","Eixample","la Sagrada Família","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431200.856","4584808.998","431108.918","4584608.04","2.175732","41.410069","Sant Pau | Dos de Maig (Cartagena)-","02","06","Eixample","la Sagrada Família","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433337.447","4585827.767","433245.49","4585626.799","2.201181","41.419425","Sant Martí (Cantàbria)-","10","72","Sant Martí","Sant Martí de Provençals","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429963.833","4580943.299","429871.905","4580742.377","2.161381","41.375145","Poble Sec (Parlament)-","02","10","Eixample","Sant Antoni","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424799.433","4579770.761","424707.553","4579569.851","2.099776","41.364118","METRO (L1) - Rambla Just Oliveras-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427830.004","4581008.331","427738.096","4580807.409","2.135859","41.375542","Plaça de Sants (Galileu)-","03","18","Sants-Montjuïc","Sants","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431208.049","4586936.579","431116.112","4586735.601","2.175576","41.429232","Virrei Amat (Felip II / Virrei Amat)-","08","44","Nou Barris","Vilapicina i la Torre Llobeta","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431084.099","4582544.57","430992.161","4582343.633","2.174593","41.389664","METRO (L1) - Urquinaona-","02","07","Eixample","la Dreta de l'Eixample","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434628.2","4584970.281","434536.23","4584769.32","2.216718","41.411808","METRO (L4) - El Maresme | Fòrum-","10","70","Sant Martí","el Besòs i el Maresme","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430153.825","4584417.775","430061.897","4584216.821","2.163251","41.406455","METRO (L4) - Joanic-","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432131.346","4584835.402","432039.399","4584634.443","2.186861","41.410386","METRO (L2) - Clot-","10","64","Sant Martí","el Camp de l'Arpa del Clot","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426833.058","4579446.158","426741.159","4579245.251","2.124127","41.361383","METRO (L10S) - Provençana-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429144.288","4580940.28","429052.368","4580739.358","2.151582","41.375046","METRO (L3) - Espanya-","03","11","Sants-Montjuïc","el Poble-sec","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430455.918","4588337.199","430363.988","4588136.208","2.166414","41.441782","METRO (L3) - Canyelles-","08","49","Nou Barris","Canyelles","",""
"K011","Transports i serveis relacionats","Tramvia","422310.862","4580275.797","422219.005","4580074.883","2.069961","41.36843","TRAMVIA (T2) - CENTRE MIQUEL MARTÍ I POL-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424112.882","4580053.387","424021.008","4579852.475","2.091533","41.366599","METRO (L5) - Can Boixeres-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","436436.992","4588520.913","436345.007","4588319.919","2.237984","41.443933","METRO (L2) - Pep Ventura-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427635.219","4580731.48","427543.313","4580530.56","2.133563","41.373031","METRO (L1) - Mercat Nou-","03","18","Sants-Montjuïc","Sants","",""
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","428147.789","4584391.712","428055.879","4584190.758","2.139256","41.406043","FGC - EL PUTXET-","05","27","Sarrià-Sant Gervasi","el Putxet i el Farró","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433029.21","4583613.16","432937.255","4583412.212","2.197738","41.399453","METRO (L4) - Llacuna-","10","68","Sant Martí","el Poblenou","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431638.562","4582839.198","431546.619","4582638.258","2.181191","41.392365","METRO (L1) - Arc de Triomf-","02","05","Eixample","el Fort Pienc","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","422317.614","4571381.406","422225.754","4571180.575","2.07118","41.288324","METRO (L9S) - Aeroport T1-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","423755.47","4574511.964","423663.598","4574311.103","2.087956","41.316657","METRO (L9S) - Parc Nou-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427353.937","4578401.018","427262.033","4578200.12","2.130479","41.352017","METRO (L9S) - Fira-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433735.347","4590267.14","433643.387","4590066.13","2.205454","41.459442","METRO (L9N) - Singuerlín-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434589.623","4588864.385","434497.655","4588663.388","2.215834","41.446878","METRO (L9N) - Santa Rosa-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434818.188","4589420.348","434726.218","4589219.346","2.21851","41.451904","METRO (L9N) - Fondo-","","","","","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428190.043","4576615.673","428098.13","4576414.791","2.140684","41.336012","METRO (L10S) - Port Comercial | La Factoria-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431019.776","4584121.678","430927.839","4583920.726","2.173644","41.403863","METRO (L5) - Sagrada Família-","02","06","Eixample","la Sagrada Família","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431155.352","4586992.484","431063.415","4586791.505","2.174939","41.429731","METRO (L5) - Virrei Amat-","08","44","Nou Barris","Vilapicina i la Torre Llobeta","",""
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425814.732","4581942.253","425722.843","4581741.323","2.111648","41.38377","METRO (L9S) - Zona Universitària-","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K008","Transports i serveis relacionats","Estació marítima","431109.829","4580147.374","431017.89","4579946.459","2.175174","41.368076","Terminal Marítima Sant Bertran *Ferris-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","Moll Sant Bertran, 3","932959122"
"K008","Transports i serveis relacionats","Estació marítima","431059.703","4578250.739","430967.764","4578049.841","2.17479","41.350989","Terminal Marítima D *Creuers-","03","12","Sants-Montjuïc","la Marina del Prat Vermell","Moll Adossat, 7","934874045"
