precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
1.700 €/mes;;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;3ª planta;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;60 m²;cantabria
600 €/sem;;/alquilar/piso-los_castros39005-42586954714_103800/;Los Castros (Santander);2 habs.;1 baño;5ª planta;"Solo para temporada de verano. Precio por semana.

Bonito piso en alquiler para verano, con capacidad para 6 personas, cercano a l...";43.4691415;-3.7955801;47 m²;cantabria
600 €/mes;;/alquilar/piso-torrelavega_tanos39300-45890158803_106000/;Tanos (Torrelavega);1 hab.;1 baño;2ª planta;Estupendo apartamento en alquiler, para entrar a vivir,  situado en el centro de torrelavega,  con ascensor. Distribuido en 1 dorm...;43.34662777;-4.044549394;56 m²;cantabria
850 €/mes;;/alquilar/piso-castilla_hermida39009-45897410395_102200/;Castilla-Hermida (Santander);3 habs.;1 baño;1ª planta;Estupendo piso de alquiler temporal en la calle castilla de tres dormitorios, salón, cocina y baño. Dispone de ascensor a cota cer...;43.4545393;-3.8209428;72 m²;cantabria
1.390 €/mes;;/alquilar/duplex-santander_general_davila39003-31676829474_103800/;General Dávila (Santander);3 habs.;2 baños;1ª planta;"Se alquila para temporada escolar a partir de septiembre. De septiembre a junio.

Ec inmobiliaria te ofrece este fantástico y cént...";43.4652909;-3.7997761;120 m²;cantabria
8.500 €/mes;Piso en calle de Marianela, 3;/alquilar/piso-santander_el_sardinero39005-44196192577_427100/;El Sardinero (Santander);4 habs.;3 baños;2ª planta;Descubre este distinguido apartamento situado en un emblemático edificio de santander, con espectaculares vistas despejadas hacia ...;43.4655;-3.78334;235 m²;cantabria
2.400 €/mes;;/alquilar/piso-cotolino39709-45097793429_100500/;Cotolino (Castro Urdiales);3 habs.;2 baños;;"Se alquila por temporadas vivienda a 200m de la playa de brazomar.
Julio:

 Quincena 2.400€ 
 Semana 1.400€
Agosto:
2ª quincena 2....";43.372289359;-3.205616208;95 m²;cantabria
1.800 €/mes;Piso en calle Marelino Sainz Sautuola, nº 12;/alquilar/piso-puerto_chico39004-45858956020_427100/;Puerto Chico (Santander);1 hab.;1 baño;1ª planta;"Disponible alquiler mes de agosto:
Este estudio situado en el interior de uno de los edificios más emblemáticos, junto al arco del...";43.4635587455899;-3.8036914917830837;54 m²;cantabria
2.200 €/mes;;/alquilar/piso-santander_el_sardinero39005-45881103768_108500/;El Sardinero (Santander);4 habs.;4 baños;;Tu nave mi nave alquila para fijo excelente piso semiamueblado de 147 m² en el sardinero. Edificio emblemático a 200 m. De la segu...;43.474310448;-3.788875766;165 m²;cantabria
1.500 €/mes;;/alquilar/piso-los_castros39005-35051145353_100500/;Los Castros (Santander);2 habs.;1 baño;Bajo;En el sardinero de santander, a escasos 5 minutos de las playas se encuentra este fabuloso apartamento que se alquila en temporada...;43.4697088;-3.7915461;61 m²;cantabria
2.100 €/mes;Piso en Avenida de la Libertad, 1;/alquilar/piso-zona_playa-43351913635_515274/;Zona Playa (Laredo);2 habs.;1 baño;Bajo;Os presentamos este estupendo piso con inmejorables vistas al mar y a la montaña, está situado en una de las zonas más solicitadas...;43.409416;-3.4303517;70 m²;cantabria
1.400 €/mes;Piso en Avenida de los Derechos Humanos, 40;/alquilar/piso-zona_playa-31682657589_515274/;Zona Playa (Laredo);3 habs.;1 baño;9ª planta;"¡¡Estupendo piso en residencia privada con piscina!!

Magnífico piso en alquiler donde poder disfrutar de unas estupendas vacacion...";43.41635042861502;-3.4435029954625205;85 m²;cantabria
2.500 €/mes;;/alquilar/chalet-somo-32522585692_108500/;Somo (Ribamontán Al Mar);3 habs.;3 baños;;Oportunidad maravillosa para disfrutar de esta casa de ensueño en la cuna del surf cántabra. Está disponible solo julio. La semana...;43.454468387;-3.739338395;220 m²;cantabria
2.100 €/mes;Piso en Plaza de Carlos V, 1;/alquilar/piso-carlos_v-95086514565_515274/;Carlos V (Laredo);2 habs.;1 baño;14ª planta;Ubicado a escasos dos minutos a pie de la playa y en residencia privada con zona de parking comunitario, juegos infantiles, pista...;43.40870799197848;-3.428222652479647;60 m²;cantabria
