precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;raw_json;CCAA
95.000 €;Piso en calle de Hermilio Alcalde del Río;/comprar/piso-torrelavega_centro-45035255340_103800/;Centro (Torrelavega);3 habs.;;57 m²;Piso  en centro, con 57 m² construidos, 54 m² útiles, 3 dormitorios, 1 baños, buen estado, planta 5, cocina amueblada, ascensor, 7...;43.350068247;-4.051642356;5ª planta;;cantabria
109.500 €;Piso en Playa;/comprar/piso-zona_playa-45046577887_106000/;Zona Playa (Laredo);1 hab.;1 baño;45 m²;"Oportunidad en laredo playa.

Rubio inmobiliaria les presenta esta fantástica oportunidad de compra muy cerquita de la playa y jun...";43.414276222;-3.441389376;6ª planta;;cantabria
295.000 €;Casa en Iruz;/comprar/casa-santiurde_de_toranzo_centro_urbano-41688656531_100500/;Santiurde de Toranzo;4 habs.;2 baños;328 m²;Si le gusta la tranquilidad de vivir en un pueblo, en una finca de 1.100m² cerrada de muros de piedra, se encuentra esta fantástic...;43.268073281;-3.935428;;;cantabria
312.000 €;Casa en Barrio de Villacarriedo, 142;/comprar/casa-villacarriedo_centro_urbano-44175943582_528326/;Villacarriedo;6 habs.;1 baño;942 m²;"**¡Oportunidad única en villacarriedo! **

Ubicada en el corazón del encantador pueblo de villacarriedo, esta propiedad ofrece un ...";43.22866840150647;-3.809159257049913;;;cantabria
1.280.000 €;Ático en El Sardinero;/comprar/atico-santander_el_sardinero39005-45095906562_108900/;El Sardinero (Santander);5 habs.;4 baños;232 m²;El adjetivo para esta maravilla has de buscarlo tú. Simplemente no es comparable con nada que haya a las puertas del sardinero. Si...;43.4739219;-3.7870663;;;cantabria
119.000 €;Piso en Ramales;/comprar/piso-ramales-41746978608_108500/;Ramales (Ramales de la Victoria);2 habs.;1 baño;70 m²;Desde inmobiliaria uranga les presentamos este bajo en ramales de la victoria. El inmueble cuenta con unos 65 m² útiles aproximada...;43.25732014;-3.466466728;;;cantabria
250.000 €;Chalet en calle C. Trebuesto, nº 1;/comprar/chalet-guriezo_revilla-44244507711_109300/;Revilla (Guriezo);3 habs.;1 baño;135 m²;"Ocasión en guriezo - chalet individual:

Ubicado en una bonita parcela de terreno soleada de 900 m², e.g.i.(estudio y gestión inmo...";43.3340695;-3.3143415;;;cantabria
119.900 €;Piso en Bádames;/comprar/piso-badames-40053183247_108500/;Bádames (Voto);2 habs.;1 baño;70 m²;Desde inmobiliaria uranga en laredo les presentamos este piso en badames en la junta de voto y en urbanización privada. El inmuebl...;43.357602742;-3.496117196;;;cantabria
140.000 €;Ático en Noja - Ris;/comprar/atico-noja_ris-22588936069_100500/;Ris (Noja);3 habs.;2 baños;95 m²;Gestiona inmobiliaria le ofrece este precioso ático dúplex de unos 80 m² repartido en dos amplias plantas en noja, con vistas a la...;43.483687185;-3.526671082;;;cantabria
349.000 €;Chalet adosado en Sámano;/comprar/chalet_adosado-castro_urdiales_samano39709-44260660143_513173/;Sámano (Castro Urdiales);4 habs.;5 baños;254 m²;Se vende chalet adosado en una de las urbanizaciones más cotizadas de sámano, debido a la calidad de sus materiales y la  privileg...;43.3586989;-3.2308083;;;cantabria
176.000 €;Casa en Barrio de las Rozas, 8;/comprar/casa-rozas_de_soba-20839816054_100500/;Rozas de Soba (Soba);5 habs.;2 baños;701 m²;(ver vídeos a modo de visita virtual y tour virtual). Oferta bajada a 176000 €. Casa tipo indiano independiente de piedra y siller...;43.21398071637577;-3.487533749715766;;;cantabria
82.900 €;Piso en El Puntal;/comprar/piso-laredo_el_puntal-40033903607_108500/;El Puntal (Laredo);1 hab.;1 baño;33 m²;Desde inmobiliaria uranga le presentamos este estudio totalmente reformado en laredo en la zona del puntal, al lado de la playa. L...;43.427538147;-3.448026498;;;cantabria
109.000 €;Dúplex en Ramales de La Victoria;/comprar/duplex-ramales-43347940076_106000/;Ramales (Ramales de la Victoria);2 habs.;2 baños;;"¡Bonito dúplex en ramales! 

Desde inmobiliaria mi villa les presentamos este increíble dúplex de 80m². En la planta inferior el i...";43.255769776;-3.462576574;2ª planta;;cantabria
579.000 €;Casa en calle Sorribero Alto, nº 76;/comprar/casa-renedo_de_pielagos-26708760349_427100/;Renedo de Piélagos (Piélagos);3 habs.;2 baños;354 m²;Magnífica lujosa propiedad independiente de corte cubico y estilo moderno con múltiples posibilidades de nueva construcción, situa...;43.35962788817332;-3.9560547471225957;;;cantabria
360.000 €;Chalet en Gama;/comprar/chalet-barcena_de_cicero_centro_urbano-43411024442_100500/;Bárcena de Cicero;4 habs.;3 baños;158 m²;Gestiona inmobiliaria tiene el placer de presentar este acogedor chalet  donde un verde intenso envuelve esta vivienda en barcena ...;43.414011003;-3.528278338;;;cantabria
99.900 €;Piso en Ramales;/comprar/piso-ramales-45004949384_108500/;Ramales (Ramales de la Victoria);2 habs.;1 baño;76 m²;Desde inmobiliaria uranga les presentamos este piso en ramales de la victoria. El inmueble cuenta con unos 70 m² útiles aproximada...;43.254753901;-3.463557875;;;cantabria
420.000 €;Ático en calle de San Andrés;/comprar/atico-cotolino39709-22566594447_100500/;Cotolino (Castro Urdiales);3 habs.;3 baños;168 m²;"Ático duplex en la zona de cotolino.
 Esta ubicado en zona residencial tranquila muy cerca de la playa de brazomar y con todos los...";43.37087467;-3.205666649;;;cantabria
119.900 €;Piso en Bárcena de Cicero;/comprar/piso-barcena_de_cicero_centro_urbano-12542500857_108500/;Bárcena de Cicero;2 habs.;1 baño;65 m²;Desde inmobiliaria uranga les presentamos este piso en bárcena de cicero cercano a todos los servicios y al enlace de la autovía s...;43.423018791;-3.518767488;;;cantabria
625.000 €;Dúplex en calle de Joaquín Costa, 47;/comprar/duplex-santander_el_sardinero39005-41682585641_427100/;El Sardinero (Santander);2 habs.;1 baño;101 m²;Fantástico apartamento en venta en pleno corazón del sardinero, en zona llana, junto al gran casino sardinero, con vistas despejad...;43.471546;-3.7822936;1ª planta;;cantabria
169.000 €;Piso en calle Enrique Mowinkel , nº 58;/comprar/piso-zona_playa-35919881917_515274/;Zona Playa (Laredo);2 habs.;2 baños;75 m²;Ven a conocer nuestros bajos de una , dos y hasta tres estancias, todos disponen de dos baños , a estrenar y con salida a terraza ...;43.41659926626502;-3.4394426103783;Bajo;;cantabria
