precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
228.000 €;Piso en Urbanización Camarate Golf;/comprar/piso-finca_cortesin-3985024034_109700/;Finca Cortesín (Casares);2 habs.;2 baños;87 m²;1ª planta;ED.3, Esc.1. Planta 1, Letra A. Piso en un inmueble de obra nueva de 87 m2 de superficie construida y situado en la zona de Casares, acomodado en planta 1. Está estructurado en 2 habitaciones y terraza. Aporta como extras garaje y trastero.;36,3955865;-5,2115884;malaga
425.000 €;Apartamento en Finca Cortesín;/comprar/apartamento-finca_cortesin-39187665631_109300/;Finca Cortesín (Casares);2 habs.;2 baños;137 m²;1ª planta;Este hermoso apartamento se encuentra en la exclusiva zona de altos de cortesín, en casares, málaga. Con una ubicación privilegiad...;36.3852973;-5.2167161;malaga
360.000 €;Piso en Urbanización de Lomas Marbella, 1;/comprar/piso-los_monteros_bahia_de_marbella29603-3751948845_109700/;Los Monteros-Bahía de Marbella (Distrito Las Chapas. Marbella);2 habs.;2 baños;113 m²;;Piso en un edificio de obra nueva de 113 m² de superficie construida y ubicado en la zona de marbella. Está distribuido en 2 habit...;36.5044814;-4.9282165;malaga
1.600.000 €;Chalet en calle Sierra Bermeja, 101;/comprar/chalet-lomas_de_marbella_club_puente_romano29602-43337460923_100500/;Lomas de Marbella Club-Puente Romano (Distrito Milla de Oro. Marbella);3 habs.;;350 m²;;Marbella golden mile, una propiedad única, dentro de una de las fincas residenciales más exclusivas de la milla de oro, esta propi...;36.5126;-4.93842;malaga
214.999 €;Piso en Urbanización Fuente de La Duquesa, nº 1;/comprar/piso-urbanizacion_el_hacho_la_duquesa_golf-44197641076_527738/;Urbanización El Hacho-La Duquesa Golf (Manilva);2 habs.;2 baños;140 m²;2ª planta;"Exclusivo apartamento en la prestigiosa urbanización de manilva

Descubra este encantador apartamento situado en una exclusiva ur...";36.35641;-5.2386513;malaga
308.000 €;Piso en calle de la Gioconda, 32;/comprar/piso-churriana_el_pizarrillo_la_noria_guadalsol29140-3875242638_109700/;Churriana-El Pizarrillo-La Noria-Guadalsol (Distrito Churriana. Málaga Capital);3 habs.;2 baños;101 m²;Bajo;Bloque 10, bajo a. Piso en una finca de obra nueva de 101 m² de superficie construida y emplazado en la zona de málaga capital, po...;36.6656643;-4.5059262;malaga
520.000 €;Ático en Urbanización Arroyo Parrilla,  5B;/comprar/atico-casares_costa29690-4347854124_109700/;Casares Costa (Casares);3 habs.;2 baños;113 m²;;B1-at-19. Apartamento en un inmueble de obra nueva de 111 m² de superficie construida y situado en la zona de casares, acomodado e...;36.378943;-5.2199139;malaga
485.000 €;Casa pareada en calle de Manuel de Falla, 7;/comprar/casa_pareada-rincon_de_la_victoria_la_cala_del_moral29720-44167781946_100500/;La Cala del Moral (Rincón de la Victoria);3 habs.;2 baños;110 m²;;"Se vende chalet pareado en la cala del moral a solo 80 metros del paseo marítimo de la cala
Pertenece a un conjunto de casas que t...";36.7154;-4.304;malaga
368.000 €;Piso en calle María de Estrada,  2;/comprar/piso-playa_bahia_dorada-3597548264_109700/;;2 habs.;2 baños;135 m²;2ª planta;2.8b. Piso en un edificio de obra nueva de 135 m² de superficie construida y ubicado en la zona de estepona, enclavado en planta 2...;36.407548;-5.1928731;malaga
1.700.000 €;Piso en Camino A Monte Mayor;/comprar/piso-benahavis_nucleo-45053239303_514704/;Núcleo (Benahavís);5 habs.;6 baños;590 m²;Bajo;Kenea pone a la venta bonita villa en monte mayor, benahavís, ! Esta espectacular propiedad independiente te ofrece 590 m² de lujo...;36.523238823;-5.046350383;malaga
375.000 €;Apartamento en Avenida de Alay;/comprar/apartamento-puerto_marina29630-34220640331_513519/;Puerto Marina (Distrito Benalmádena Costa. Benalmádena);3 habs.;2 baños;100 m²;8ª planta;Bienvenido a tu nuevo hogar en la hermosa benalmádena costa, donde el sol brilla y las vistas al mar son simplemente impresionante...;36.5983556;-4.5169553;malaga
2.190.000 €;Chalet unifamiliar en Avenida de Cartagena;/comprar/chalet_unifamiliar-las_chapas_elviria-45030126672_514704/;Elviria (Distrito Las Chapas. Marbella);6 habs.;6 baños;584 m²;;"Kenea pone a la venta ¡Increíble villa de lujo en la exclusiva zona de marbesa, marbella!
 Esta amplia villa de planta abierta cue...";36.48945;-4.7554755;malaga
1.300.000 €;Finca rústica en calle Polígono 5 Parcela 126 los Sauces. Ojen (Málaga), nº 5;/comprar/finca_rustica-ojen_centro_urbano-38421546360_100500/;Ojén;3 habs.;2 baños;217 m²;;Casa de campo en muy buen estado, con 19.503 m² de jardines totalmente vallados, privacidad absoluta, vegetación exuberante y árbo...;36.5642;-4.85649;malaga
1.200.000 €;Ático en calle San Nicolás;/comprar/atico-la_malagueta_monte_sancha-40081458811_100500/;La Malagueta-Monte Sancha (Distrito Centro. Málaga Capital);2 habs.;;200 m²;;Espectacular y exclusiva vivienda tipo atico en el corazón de la malagueta. Con vistas panorámicas a toda málaga desde cualquier á...;36.7187068;-4.4116197;malaga
1.189.000 €;Chalet en calle Islas Baleares;/comprar/chalet-este_el_palo29018-44234043183_100500/;El Palo (Distrito Este. Málaga Capital);8 habs.;7 baños;575 m²;;"¡Prepárate para descubrir la verdadera joya de miraflores del palo!

Esta impresionante villa es mucho más que una simple propieda...";36.7237212;-4.3567135;malaga
365.000 €;Piso en calle Menorca, 4;/comprar/piso-santa_paula_la_paz_los_guindos_parque_mediterraneo-4483192963_109700/;Santa Paula-La Paz-Los Guindos-Parque Mediterráneo (Distrito Carretera de Cádiz. Málaga Capital);2 habs.;2 baños;71 m²;5ª planta;V25_guindos. Piso en un edificio de obra nueva de 71 m² de superficie construida y ubicado en la zona de málaga capital, enclavado...;36.6919935;-4.4529621;malaga
325.000 €;Piso en  calle Casares Golf Garden;/comprar/piso-finca_cortesin-41688374776_109700/;Finca Cortesín (Casares);2 habs.;2 baños;71 m²;;Piso en una finca de obra nueva de 71 m² de superficie construida y emplazado en la zona de casares. Está dispuesto en 2 habitacio...;36.388496;-5.2175532;malaga
295.000 €;Piso en calle Gaucin, 20;/comprar/piso-la_luz_virgen_de_belen29003-4454390755_109700/;La Luz-Virgen de Belén (Distrito Carretera de Cádiz. Málaga Capital);2 habs.;2 baños;84 m²;2ª planta;2º a. Piso en un inmueble de obra nueva de 84 m² de superficie construida y situado en la zona de málaga capital, acomodado en pla...;36.6984091;-4.4490872;malaga
1.295.000 €;Casa adosada en Nueva Andalucía-Centro;/comprar/casa_adosada-nueva_andalucia_centro29660-41701566750_109300/;Nueva Andalucía-Centro (Distrito Nueva Andalucía. Marbella);4 habs.;5 baños;242 m²;;"La alzambra, puerto banús - amplia, luminosa y muy bien construida; casa adosada con orientación suroeste, bien situada cerca de l...";36.495999552;-4.953657361;malaga
1.350.000 €;Chalet en Pinares de San Antón;/comprar/chalet-pinares_de_san_anton29018-45060715022_990526/;Pinares de San Antón (Distrito Este. Málaga Capital);5 habs.;5 baños;395 m²;;"Chalet reformado recientemente, se distribuye en tres plantas:
Planta principal: salón a doble altura, despacho, aseo, cocina inde...";36.7359236;-4.3595762;malaga
391.000 €;Piso en calle Casas de Padron, 4;/comprar/piso-el_padron_el_velerin_voladilla29689-3520830827_109700/;Punta Plata (Estepona);2 habs.;2 baños;91 m²;1ª planta;Portal 3, 1º c. Piso en una finca de obra nueva de 91 m² de superficie construida y emplazado en la zona de estepona, posicionado ...;36.4366905;-5.1107733;malaga
510.000 €;Apartamento en La Campana-Altos del Rodeo;/comprar/apartamento-la_campana_altos_del_rodeo-40858424671_109300/;La Campana-Altos del Rodeo (Distrito Nueva Andalucía. Marbella);3 habs.;2 baños;204 m²;1ª planta;¿Buscas localización en la zona de marbella y san pedro de alcántara?, os presentamos este fantástico apartamento, en la prestigio...;36.487803186;-4.969901848;malaga
225.000 €;Piso en El Peñoncillo;/comprar/piso-el_penoncillo-4129542976_109700/;El Peñoncillo (Torrox);2 habs.;2 baños;103 m²;2ª planta;Vi-p1-2-a. Piso en un inmueble de obra nueva de 103 m² de superficie construida y situado en la zona de torrox, acomodado en plant...;36.7311626;-3.9494802;malaga
206.995 €;Casa adosada en calle de la Faenera,  s/n;/comprar/casa_adosada-alora_centro_urbano-3929800307_109700/;Álora;3 habs.;3 baños;178 m²;;Manzana 3, 2c. Casa adosada de obra nueva, de 178 m² de superficie construida, y ubicada en la zona de álora.  Está distribuida en...;36.8143625;-4.6959166;malaga
230.000 €;Dúplex en calle Urbanización Terrazas de La Bahía;/comprar/duplex-casares_costa29690-42514359740_525603/;Casares Costa (Casares);3 habs.;2 baños;70 m²;Entresuelo;"Fantástico ático dúplex con vistas al mar. Cuenta con 3 dormitorios y 2 baños.
Con 2 plantas:
- en la planta de abajo encontramos ...";36.375062437;-5.227205855;malaga
602.000 €;Ático en Casco Antiguo;/comprar/atico-centro_casco_antiguo-3473618143_109700/;Casco Antiguo (Distrito Centro. Estepona);3 habs.;;222 m²;;Azure e1_3c. Ático en un edificio de obra nueva de 222 m² de superficie construida y ubicado en la zona de estepona, enclavado en ...;36.4249867;-5.1478264;malaga
550.000 €;Casa en Avenida del Valle del Golf;/comprar/casa-nueva_andalucia_centro29660-32529107545_518427/;Nueva Andalucía-Centro (Distrito Nueva Andalucía. Marbella);2 habs.;4 baños;172 m²;;"Vivienda completamente amueblada y equipada.
Moderna y recién reformada propiedad en nueva andalucía, en la demandada urbanización...";36.50880503134343;-4.9624373599216955;malaga
275.000 €;Piso en  calle Villa Borghese;/comprar/piso-costa_natura29693-44175913343_109700/;Costa Natura (Estepona);2 habs.;2 baños;76 m²;;Piso en un edificio de obra nueva de 76 m² de superficie construida y ubicado en la zona de estepona. Está distribuido en 2 habita...;36.423827135;-5.199345271;malaga
273.000 €;Apartamento en Carretera de Peñoncillo,  s/n;/comprar/apartamento-el_penoncillo-2589248132_109700/;El Peñoncillo (Torrox);2 habs.;2 baños;74 m²;;Apartamento 1112. Piso en un inmueble de obra nueva de 74 m² de superficie construida y situado en la zona de torrox. Está estruct...;36.7376758;-3.9335049;malaga
650.000 €;Casa pareada en calle de Marcasitas;/comprar/casa_pareada-nagueles_alto29602-44172071004_100500/;Nagüeles Alto (Distrito Milla de Oro. Marbella);4 habs.;4 baños;170 m²;;"¡Nueva en el mercado!  Pareada en nagüeles, 4 dormitorios, perfecta para familias

Esta casa se encuentra en nagüeles, milla de o...";36.514715465;-4.92385824;malaga
325.000 €;Ático en calle Teniente Alcalde Joaquin Coronado, nº 5;/comprar/atico-torrox_el_morche29793-42508313791_100500/;El Morche (Torrox);2 habs.;;80 m²;;"Ático con vistas al mar

Baño totalmente amueblado incluyendo mueble, grifería, mampara, espejo. Además la cocina está totalmente ...";36.739;-3.99322;malaga
295.000 €;Chalet en Urbanización Ur1C Embalse,  75;/comprar/chalet-vinuela_centro_urbano-4594472657_109700/;Viñuela;3 habs.;2 baños;113 m²;;"42. Chalet de obra nueva de 113 m2 de superficie construida y ubicado en la zona de Logroño. Está distribuido en 3 habitaciones, 2 baños completos y jardín. Parcela de 619,53 m2. Ofrece como acabados vidrios dobles y carpintería exterior en PVC . Incluye extras como trastero.
Porche apergolado.
Preinstalación de climatización por conductos y ventilación mecánica.
Equipo de aerotermia con depósito de 200 litros.
Muebles de baño.
Zona de barbacoa.

Extras: Piscina y césped artificial opcional, precio a consultar.";36,8834;-4,16148;malaga
940.000 €;Casa unifamiliar en calle España;/comprar/casa_unifamiliar-mijas_golf_cala_golf-945856909413002_109700/;Mijas Golf (Mijas);4 habs.;4 baños;400 m²;;Oportunidad! Lujo! Villa a la venta en mijas golf! Casa de reciente construcción, 1.600 m² de parcela, 400 m² construidos  aprox.,...;36.511574141;-4.639106407;malaga
370.000 €;Ático en calle Federico García Lorca,  s/n;/comprar/atico-mijas_las_lagunas29651-1473747557_109700/;Las Lagunas (Mijas);3 habs.;2 baños;83 m²;;Ático. Nº501. Ático en una finca de obra nueva de 83 m² de superficie construida y emplazado en la zona de mijas, posicionado en p...;36.5446374;-4.6380898;malaga
572.000 €;Ático en calle de Sierra Nevada,  S/N;/comprar/atico-torremuelle29639-3221935570_109700/;Torremuelle (Distrito Benalmádena Costa. Benalmádena);3 habs.;2 baños;159 m²;;Ático en un edificio de obra nueva de 159 m² de superficie construida y ubicado en la zona de benalmádena, con orientación al mar....;36.5876372;-4.562694;malaga
