precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.100 €/mes;Piso en calle Pirineos, 7;/alquilar/piso-la_florida_huerta_del_pilar41018-44181686854_510641/;La Florida-Huerta del Pilar (Distrito Nervión. Sevilla Capital);2 habs.;1 baño;80 m²;1ª planta;En nervión, situado junto a avenida la buhaira y eduardo dato. Con terraza propia. Primera planta, alta. Entrada con armario empot...;37.38545639689116;-5.977496449077364;sevilla
900 €/mes;;/alquilar/piso-alfalfa41004-45023877975_100500/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);1 hab.;;78 m²;1ª planta;¡Descubre tu nuevo hogar en el corazón de sevilla! Este encantador apartamento de 78 m², ubicado en una primera planta con ascenso...;37.389798851;-5.992260827;sevilla
850 €/mes;;/alquilar/piso-casco_antiguo_san_julian41003-45021856561_998743/;San Julián (Distrito Casco Antiguo. Sevilla Capital);2 habs.;1 baño;80 m²;1ª planta;Este encantador piso en alquiler se encuentra ubicado en la zona de san julián, en sevilla capital. Con una superficie total de 65...;37.3966532;-5.9839268;sevilla
900 €/mes;;/alquilar/piso-villegas_los_principes41009-35890809710_100500/;Villegas-Los Príncipes (Distrito Macarena. Sevilla Capital);3 habs.;1 baño;74 m²;1ª planta;"Piso solo para estudiantes

Se alquila solo a estudiantes y por un periodo mínimo de un año piso amueblado en perfecto estado en 1...";37.4098271;-5.9797741;sevilla
1.050 €/mes;;/alquilar/piso-los_remedios_barrio41011-41691576302_100500/;Los Remedios (Distrito Los Remedios. Sevilla Capital);2 habs.;2 baños;102 m²;1ª planta;Luminosa vivienda junto al río guadalquivir y a unos pasos del recinto ferial. Está situada a unos pasos de la zona céntrica y mon...;37.3779427;-5.9975866;sevilla
760 €/mes;;/alquilar/piso-arco_norte_la_alqueria41704-45010053642_997202/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);3 habs.;2 baños;90 m²;Principal;Amplio piso de 3 dormitorios en zona inmejorable. Se alquila con 2 plazas de garaje. El piso cuenta con cocina completamente equip...;37.295429254;-5.937231354;sevilla
850 €/mes;;/alquilar/apartamento-alfalfa41004-45021789664_516479/;Alfalfa (Distrito Casco Antiguo. Sevilla Capital);1 hab.;1 baño;75 m²;1ª planta;"Home international pone en alquiler este magnífico apartamento con bonito patio en pleno centro.  

El piso dispone, de aire acond...";37.3913693;-5.992155;sevilla
950 €/mes;;/alquilar/casa_adosada-centro_dona_mercedes41701-42529265089_100500/;Centro-Doña Mercedes (Distrito Zona Centro. Dos Hermanas);3 habs.;3 baños;129 m²;;"Adosado de 129m². Distribuido en dos plantas; cuenta con 3 habitaciones, amplio salón, cocina-comedor amueblada y equipada (frigor...";37.2801202;-5.9282639;sevilla
950 €/mes;Apartamento en calle de Huestes, 3;/alquilar/apartamento-la_buhaira_san_bernardo41018-1737202253_101800/;La Buhaira-San Bernardo (Distrito Nervión. Sevilla Capital);1 hab.;1 baño;80 m²;2ª planta;Apartamento en edificio maría josé i, con 1 dormitorio con baño completo y armario empotrado, salón-comedor con cocina office y te...;37.3808;-5.98048;sevilla
1.100 €/mes;;/alquilar/atico-feria_alameda41003-42556230942_106000/;Feria-Alameda (Distrito Casco Antiguo. Sevilla Capital);2 habs.;1 baño;61 m²;;"Acanto inmobiliaria le ofrece bonito ático dulplex en pleno centro de sevilla  amueblado. !!!!
61 m² que se distribuyen en dos pla...";37.3968965;-5.9921835;sevilla
