precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
375.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.-161c1io1dR1U/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.10/;18012, Granada, Provincia de Granada;3  habitaciones;2  baños;164  m²;Descubre tu próximo hogar en pleno corazón de Granada, junto a San Juan de Letrán y la Avenida de la Constitución. Este amplio piso de 164...;Hace +30 días;Indomio;Granada
980.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.-cmU1f1Xz1y/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.11/;18009, Granada, Provincia de Granada;5  habitaciones;3  baños;266  m²;...Salón, con terraza y vistas despejadas al Bulevar, incluyendo en el precio plaza de garaje amplia y trastero. El piso cuenta con materiales de...;Hace +30 días;Indomio;Granada
210.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1D1T1Y1Z1Gdi1D/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.12/;Granada, Provincia de Granada;1  habitaciones;-;60  m²;Se Vende piso en zona Plaza Bibarambla, con 60 m2 con 1 dormitorio, 1 salon, cocina americana, 1 baño completo, suelos de marmol, ventanas...;Hace +1 año;Indomio;Granada
202.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.4N1741e1M1A18/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.13/;18014, Chana, Granada, Provincia de Granada;3  habitaciones;1  baños;100  m²;Piso en venta en Granada de 100 m2...;Hace +30 días;Indomio;Granada
240.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.L1E136y1F71J/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.14/;Granada, Provincia de Granada;2  habitaciones;1  baños;72  m²;Vende piso carretera sierrra nevada para reformar, con 2 dormitorios, 1 baño, comedor, precio 240.000 euros (40 millones ptas) #ref: 693...;Hace +1 año;Indomio;Granada
265.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1I181z1UXS12v/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.15/;18001, Granada, Provincia de Granada;2  habitaciones;1  baños;94  m²;¿Levas tiempo buscando piso en pleno centro? Te presentamos esta magnifica vivienda en plena Calle Mesones, junto Reyes Católicos y lista para...;Hace +30 días;Indomio;Granada
234.400€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1L1K1c1C1x1tZ1w/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.16/;Granada, Provincia de Granada;3  habitaciones;1  baños;80  m²;SE VENDE PISO EN ZONA PUENTE ROMANO, 80 M2 UTILES, 3 Dorm, 1 baño, salon y cocina con lavadero, suelos tarima flotante, ventanas climalit...;Hace +1 año;Indomio;Granada
500.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1RP1F1D1lb131o/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.17/;Granada, Provincia de Granada;4  habitaciones;3  baños;190  m²;Piso con 4 dormitorios amplios, 3 baños completos, cocina amplia y Salon comedor grande, exterior a la calle. Calefaccion comunidad. Ref: PIS_583...;Hace +1 año;Indomio;Granada
450.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1N1A1t131Q1GU18/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.18/;18006, Granada, Provincia de Granada;6  habitaciones;2  baños;239  m²;Piso en venta en el exclusivo barrio de Alminares en Granada. Con una superficie de 239m², este amplio inmueble cuenta con un hall de entrada...;Hace +30 días;Indomio;Granada
240.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1Y1n115NE1ES/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.19/;Granada, Provincia de Granada;3  habitaciones;1  baños;90  m²;VENDE PISO en Zona Hipercor con 90 m2 con 3 dorm. 1 baño, salon, cocina con lavadero, PRECIO 240.000 euros (40 millones ptas) #ref: 701...;Hace +1 año;Indomio;Granada
390.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1gyM1CL1-1m1X/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.20/;Granada, Provincia de Granada;5  habitaciones;2  baños;145  m²;Piso en la calle Recogidas al lado del metro, bus y taxis, altura media, orientación hacia Sierra nevada, suelos de Parker, ventas aluminio...;Hace +30 días;Indomio;Granada
118.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1nB1hq1q1rt1r/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.21/;Granada, Provincia de Granada;3  habitaciones;1  baños;80  m²;VENDE PISO en Zona Sagrada Familia de La Chana, Exterior, 80 m2. 3 dormitorios, 1 baño, salon, cocina amueblada. Suelos de Gres y ventanas...;Hace +1 año;Indomio;Granada
282.500€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1q51E1-1V1Z1Ff/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.22/;Granada, Provincia de Granada;2  habitaciones;2  baños;80  m²;Vende piso zona plz. Trinidad, nuevo con 80 m2 con 2 dorm. 1 baño, cocina amueblada, salon, calefaccion central. Precio 252.200 Euros #ref: 721...;Hace +1 año;Indomio;Granada
300.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.11rE1Uih1FW/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.23/;Granada, Provincia de Granada;4  habitaciones;2  baños;-;Piso reformado, con 4 dormitorios, 2 baños, salón con balcon y cocina equipada. Ref: PIS_729...;Hace +1 año;Indomio;Granada
252.425€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.121M1qj1v5101G/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.24/;Granada, Provincia de Granada;2  habitaciones;1  baños;65  m²;VENDE PISO en Zona Alhamar, 65 m2 con 2 dormitorios, baño, salon y cocina. Calefaccion, suelos de tarima flotante, ventanas de climalit y...;Hace +1 año;Indomio;Granada
540.000€;Piso en Venta en Granada;https://rd.clk.thribee.com/id.1J1ORhJ1SE2/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16737trovit-web-86bb757b58-sjnzp66818b91bfef0/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20provincia%20granada/type.1/page.11/cookieid.102011166818b91a59e03.74843708/pos.25/;18014, Granada, Provincia de Granada;5  habitaciones;3  baños;166  m²;¡Descubre tu nuevo hogar en una de las urbanizaciones más exclusivas de Granada, Gran Parque! Este magnífico piso, con 166 m2 construidos...;Hace +30 días;Indomio;Granada
