precio;sub_descr;href;ubicacion;planta;otros;latitude;longitude;habitaciones;banios;mt2;CCAA
130.000 €;;/comprar/casa_adosada-lepanto-44184361143_100200/;Lepanto (Mairena del Aljarafe);;Reservada tecnocasa casa adosada de 105 m². 3 dormitorios (1 en planta baja) 2 baños completos (1 en planta baja), salón comedor, ...;37.3541319;-6.0389124;;2 baños;100 m²;sevilla
112.900 €;;/comprar/casa_adosada-coria_del_rio_centro_urbano-43346396967_100500/;Coria del Río;;Le presentamos una estupenda casa de dos plantas con patio y azotea de 4 habitaciones, 2 baños y sala de estar. La vivienda requie...;37.2808543;-6.0530019;4 habs.;2 baños;136 m²;sevilla
91.000 €;;/comprar/casa_unifamiliar-la_puebla_de_cazalla_centro_urbano-45883807715_100200/;La Puebla de Cazalla;;"¡Fantastica casa para entrar a vivir!
Esta vivienda se encuentra en calle virgen de guadalupe, 17, consta de 123 m² construidos.
E...";37.2248862;-5.3086617;4 habs.;1 baño;123 m²;sevilla
225.000 €;;/comprar/piso-castilleja_de_guzman_centro_urbano-40879710831_109300/;Castilleja de Guzmán;1ª planta;Piso en venta en castilleja de guzman. Amplio y luminoso inmueble de 105 m² construidos, ubicado en un primer piso con ascensor. C...;37.4027787;-6.0604111;2 habs.;2 baños;105 m²;sevilla
290.000 €;;/comprar/piso-zona_esperanza_de_triana41010-45063332895_109300/;Zona Esperanza de Triana (Distrito Triana. Sevilla Capital);2ª planta;"\""piso en muy buen estado a la venta en triana. Ideal para entrar directamente a vivir\""vivienda en 2ª planta sin ascensor que con...";37.3773129;-6.0060205;3 habs.;1 baño;125 m²;sevilla
212.500 €;Piso en calle de Almanzor,  s/n;/comprar/piso-sevilla_capital-4576641603_109700/;Sevilla Capital;1ª planta;5 1a. 1ª exterior. Piso en un edificio de obra nueva de 114 m² de superficie construida y ubicado en la zona de logroño, enclavado...;37.3845306;-5.9155318;3 habs.;2 baños;114 m²;sevilla
270.000 €;;/comprar/casa-espartinas_centro_urbano-41672403052_106700/;Espartinas;;"Vivienda reservada!!!

Y tú, ¿Aún sigues intentando vender tu inmueble?

¡Llámame y te explico como lo conseguimos nosotros!

Call...";37.3867674;-6.1086553;4 habs.;2 baños;220 m²;sevilla
185.200 €;Piso en Avenida Felipe González Márquez,  s/n;/comprar/piso-montequinto_el_colmenar41704-4554755741_109700/;Montequinto-El Colmenar (Dos Hermanas);1ª planta;3 dormitorios en plantas intermedias de 76,50 m² útiles y 8,40 m² de terraza útil desde 185.200 € + iva. Con garaje y trastero inc...;37.3041103;-5.9365007;3 habs.;2 baños;103 m²;sevilla
295.000 €;;/comprar/chalet-oromana-40040255108_106000/;Oromana (Alcalá de Guadaíra);;"¡¡Se vende chalet en campo alegre!!

Se vende chalet en una de las mejores zonas de alcalá. Distribuido en tres plantas. En la pri...";37.3126049;-5.8623348;4 habs.;3 baños;193 m²;sevilla
198.000 €;;/comprar/piso-montequinto_el_colmenar41089-45096052900_106000/;Montequinto-El Colmenar (Dos Hermanas);4ª planta;"""se vende amplio piso de 5 dormitorios en montequinto, con una superficie de 117 metros cuadrados construidos. La propiedad cuenta...";37.345041167;-5.934900585;5 habs.;2 baños;117 m²;sevilla
210.000 €;;/comprar/apartamento-casco_antiguo_san_vicente41002-44256983166_100500/;San Vicente (Distrito Casco Antiguo. Sevilla Capital);Bajo;Tener un patio por pequeño que sea es todo un privilegio hoy en día, sobre todo después de la pandemia. Este piso, interior, se en...;37.3982031;-5.9999649;3 habs.;1 baño;74 m²;sevilla
180.000 €;;/comprar/casa_adosada-olivares_centro_urbano-35054998160_100500/;Olivares;;Gran casa señorial en el centro con 480 m 2 de parcela y 292 m 2 construidos. En pleno centro de olivares un inmueble exclusivo qu...;37.4196928;-6.155062;5 habs.;1 baño;292 m²;sevilla
69.900 €;;/comprar/piso-el_cuervo_de_sevilla_centro_urbano-45028375003_100200/;El Cuervo de Sevilla;2ª planta;"Zona centro (el cuervo).

Piso con opción de garaje en el centro de 121m² construidos que consta de:
· recibidor.
· salón con 2 ba...";36.8524137;-6.0404609;3 habs.;;110 m²;sevilla
275.000 €;;/comprar/chalet-sanlucar_la_mayor_centro_urbano-41718018425_100500/;Sanlúcar la Mayor;;"Chale independiente y de esquina en ""urbanización la granja"". En una de las mejores urbanizaciones de sanlúcar la mayor gran chale...";37.3906502;-6.1962586;4 habs.;3 baños;190 m²;sevilla
129.990 €;;/comprar/apartamento-casco_antiguo_san_lorenzo41002-43415847833_100500/;San Lorenzo (Distrito Casco Antiguo. Sevilla Capital);2ª planta;Coqueto estudio en el centro de sevilla, junto a la alameda de hércules y la plaza de san lorenzo, en edificación típica sevillana...;37.3990707;-5.9951692;;1 baño;32 m²;sevilla
160.000 €;;/comprar/piso-pino_montano41015-45864901912_100200/;Pino Montano (Distrito Norte. Sevilla Capital);;"Buscando tu nuevo hogar en el barrio de pino montano?

Te presentamos esta vivienda de renta libre en la zona de las estrellas que...";37.4225247;-5.9683738;4 habs.;1 baño;118 m²;sevilla
275.000 €;;/comprar/piso-cerro_amate_el_cerro41006-43365494102_100500/;El Cerro (Distrito Cerro Amate. Sevilla Capital);2ª planta;"¡Obra nueva!
Piso en segunda planta con ascensor, donde tenemos dos opciones de distribución para que elijas la que mejor se adapt...";37.3745999;-5.9616939;3 habs.;3 baños;115 m²;sevilla
139.000 €;;/comprar/piso-la_buhaira_san_bernardo41005-45069433675_100500/;La Buhaira-San Bernardo (Distrito Nervión. Sevilla Capital);3ª planta;Piso de 54 metros construidos, con tres dormitorios, cocina, baño y salón con terraza. Vivienda a reformar, tercera planta en bloq...;37.3817446;-5.9712863;3 habs.;1 baño;54 m²;sevilla
150.000 €;;/comprar/piso-alcala_de_guadaira_centro-43374632164_106000/;Centro (Alcalá de Guadaíra);2ª planta;"¡¡Se vende piso/ático zona bailen!!

¡¡Rebajado ahora 150.000&euro;!!

Se vende piso/ático en zona bailen, todo en una sola planta...";37.3367814;-5.8414049;3 habs.;1 baño;70 m²;sevilla
189.999 €;;/comprar/piso-miraflores_santa_maria_de_ordas41008-45040404405_109300/;Miraflores-Santa María de Ordás (Distrito Macarena. Sevilla Capital);6ª planta;"\""piso en buen estado a la venta en sevilla, zona avenida de llanes. Ideal para entrar directamente a vivir\""vivienda en 6ª planta...";37.4033053;-5.9714921;3 habs.;1 baño;82 m²;sevilla
180.000 €;;/comprar/casa-almensilla_centro_urbano-38371414042_106700/;Almensilla;;"Vivienda comercializada en exclusiva!!!

Estupendo chalet independiente de 451 m² construidos en parcela de 1.400 m², cuenta con a...";37.3063568;-6.0910121;3 habs.;1 baño;451 m²;sevilla
139.000 €;;/comprar/piso-alcala_de_guadaira_centro-43402412453_100900/;Centro (Alcalá de Guadaíra);2ª planta;Piso muy luminosos en zona centro. Excelentes calidades y reciente terminación del edificio. Piso de 3 dormitorios , baño , amplio...;37.340402519;-5.842589122;3 habs.;1 baño;80 m²;sevilla
85.000 €;;/comprar/casa-el_pedroso_centro_urbano-42575868832_100500/;El Pedroso;;"Casa de 167 m² ubicada en el municipio de el pedroso, a una hora aproximadamente de la ciudad de sevilla.

Dicha vivienda actualme...";37.841771337;-5.764050342;2 habs.;3 baños;167 m²;sevilla
245.000 €;;/comprar/chalet-ecija_centro_urbano-41746274001_108700/;Écija;;"✨!!Atencion venta de magnifica casa en el centro de ecija!!✨

😉se vende preciosa casa muy cerca del centro de écija , con 321 m c...";37.526817;-5.1582499;4 habs.;2 baños;321 m²;sevilla
370.000 €;;/comprar/casa-oromana-44220837006_104700/;Oromana (Alcalá de Guadaíra);;"La vivienda que estabas esperando sale a la venta; chalet independiente en parcela de 555 m² y 208 m² de vivienda construida. Se e...";37.3144127;-5.8620799;4 habs.;3 baños;208 m²;sevilla
149.000 €;;/comprar/piso-arco_norte_la_alqueria41704-45099861963_101800/;Arco Norte-La Alquería (Distrito Zona Centro. Dos Hermanas);;Descubre este encantador piso de vivienda de protección oficial (vpo) situado en la planta baja de un moderno edificio en la prest...;37.297030454;-5.933631966;3 habs.;2 baños;87 m²;sevilla
127.260 €;;/comprar/piso-juan_xxiii_rochelambert-45098155001_100200/;Juan XXIII-Rochelambert (Distrito Cerro Amate. Sevilla Capital);;Barriada de rochelambert. Piso con ascensor en calle puerto del escudo. La vivienda se distribuye en hall de entrada, 3 habitacion...;37.375730875;-5.953672787;3 habs.;1 baño;80 m²;sevilla
115.999 €;;/comprar/piso-la_oliva_poligono_sur41013-44188530555_527264/;La Oliva-Polígono Sur (Distrito Sur. Sevilla Capital);Principal;"Piso en venta de 71 m1 en la barriada de la oliva.
La vivienda consta de tres dormitorios, baño completo con placa de ducha, cocin...";37.3654027;-5.9705276;3 habs.;1 baño;71 m²;sevilla
197.000 €;Piso en Carretera de Sevilla a Coria,  s/n;/comprar/piso-gelves_centro_urbano-4594763863_109700/;Gelves;Bajo;Vi-1-3-p00-b. Piso en un inmueble de obra nueva de 110 m² de superficie construida y situado en la zona de gelves, acomodado en pl...;37.345427;-6.0249575;3 habs.;2 baños;110 m²;sevilla
