precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
1.500 €/mes;Piso en calle de José Miguel de Barandiarán Ayerbe, 4;/alquilar/piso-santutxu48006-35899192433_525887/;Santutxu (Distrito Begoña-Santutxu. Bilbao);3 habs.;2 baños;110 m²;Vivienda totalmente reformada denominada amarenea, destinada al alquiler de estudiantes, totalmente reformada a estrenar de tres h...;43.25549773270196;-2.9140000343911097;1ª planta;vizcaya_bizkaia
1.200 €/mes;;/alquilar/piso-matiko_loruri48007-45898520205_100500/;Matiko-Loruri (Distrito Uribarri. Bilbao);3 habs.;2 baños;90 m²;Vivienda exterior, situada en la calle anselma de salces junto a tiboli y castaños. Zona dotada de todos los servicios necesarios ...;43.2663802;-2.9232101;7ª planta;vizcaya_bizkaia
990 €/mes;;/alquilar/piso-barakaldo_centro48901-45859428551_102200/;Centro (Barakaldo);2 habs.;2 baños;80 m²;Fantástico piso enfrente del ayuntamiento de barakaldo. El piso tiene 80 m², 2 habitaciones (una suite con baño directo), salón-co...;43.2978947;-2.9838853;6ª planta;vizcaya_bizkaia
1.800 €/mes;;/alquilar/piso-san_frantzisko48003-45837094542_102200/;San Frantzisko (Distrito Ibaiondo. Bilbao);4 habs.;2 baños;110 m²;Norpiso ofrece vivenda con ascensor de 4 habitaciones y 2 baños en la zona de bilborock, se encuentra en dos de mayo junto a la rí...;43.2579613;-2.9279546;1ª planta;vizcaya_bizkaia
800 €/mes;;/alquilar/piso-iralabarri48012-45848041612_100500/;Iralabarri (Distrito Errekalde. Bilbao);2 habs.;1 baño;70 m²;Inmobiliaria euskalcasa alquila piso en la calle eskurtze, en el barrio de irala pero, arriba del todo, justo al lado de la salida...;43.251479158;-2.936992737;3ª planta;vizcaya_bizkaia
1.190 €/mes;;/alquilar/piso-ibarrekolanda48015-45076122676_102200/;Ibarrekolanda (Distrito Deustu. Bilbao);3 habs.;1 baño;60 m²;"En sarriko, a tan solo 200m de la boca de metro y a 350m de la falcultad de economía.

Piso con reforma integral a estrenar.

Sala...";43.2754949;-2.9572322;8ª planta;vizcaya_bizkaia
1.090 €/mes;;/alquilar/piso-getxo_algorta48991-32520175460_109300/;Algorta (Getxo);2 habs.;1 baño;65 m²;"Piso en alquiler en getxo-algorta. Periodos cortos. 
El vivienda dispone de dos habitaciones amplias, baño completo y salón con co...";43.3540043;-3.0033227;;vizcaya_bizkaia
1.800 €/mes;;/alquilar/piso-doneperiaga_deustuibarra_san_pedro_la_ribera48014-45013806013_106000/;Doneperiaga-Deustuibarra San Pedro-La Ribera (Distrito Deustu. Bilbao);4 habs.;2 baños;98 m²;Erlantz inmobiliaria os presenta en alquiler exclusivamente solo para estudiantes de la universidad de deusto este maravillosos pi...;43.271499439;-2.942045141;1ª planta;vizcaya_bizkaia
1.600 €/mes;;/alquilar/piso-gorliz_centro_urbano-45841022060_528475/;Gorliz;2 habs.;1 baño;70 m²;"Se alquila piso para la segunda quincena de agosto. 
Sala con cocina americana, 2 habitaciones con armarios empotrados, baño. Gran...";43.412876;-2.9410468;1ª planta;vizcaya_bizkaia
2.400 €/mes;;/alquilar/piso-abando_ensanche48001-44253101833_109300/;Abando Ensanche (Distrito Abando. Bilbao);4 habs.;2 baños;145 m²;Inmobiliaria althena alquila precioso piso en el ensanche. Alquiler destinado a grupos de estudiantes, profesionales o familias. A...;43.2631719;-2.9251761;;vizcaya_bizkaia
2.000 €/mes;;/alquilar/piso-indautxu48011-44237190825_109300/;Indautxu (Bilbao);3 habs.;2 baños;112 m²;"Rodriguez arias /alameda de recalde
Piso para estrenar para estancias temporales en el centro de bilbao. Se encuentra ubicado en l...";43.2618872;-2.9348378;;vizcaya_bizkaia
2.900 €/mes;;/alquilar/piso-getxo_algorta48993-45092902034_102200/;Algorta (Getxo);2 habs.;1 baño;60 m²;Getxo. En la misma playa de arrigunaga. Si quieres disfrutar, unas vacaciones al lado del mar además con todos los servicios cerca...;43.3549254;-3.0165782;;vizcaya_bizkaia
