precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
1.700 €/mes;;/alquilar/piso-la_sagrada_familia08025-35878358508_100200/;La Sagrada Família (Distrito Eixample. Barcelona Capital);3 habs.;1 baño;57 m²;"Alquiler de temporada 
Piso nuevo a estrenar, con acabados de alta calidad a una calle de la sagrada familia.

El piso, que cuenta...";41.4048597;2.1741364;2ª planta;barcelona
2.490 €/mes;;/alquilar/piso-la_sagrada_familia08013-45062909927_106700/;La Sagrada Família (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;129 m²;"Rebajado - *alquiler temporal de 11 a 18 meses*
Laudor xxi alquila temporalmente piso completamente amueblado con muebles en el co...";41.4024885;2.1799631;;barcelona
1.650 €/mes;;/alquilar/piso-zona_nord_la_serreta-40870030952_525162/;Zona Nord-La Serreta (Rubí);3 habs.;1 baño;70 m²;Se alquila piso en rubí solo a empresas(con contrato y factura a nombre de la empresa) de forma temporal, para periodos de entre 3...;41.5014215;2.0341842;1ª planta;barcelona
1.400 €/mes;;/alquilar/duplex-corro_avall-45880689564_112100/;Corró d'Avall (Les Franqueses del Vallès);4 habs.;2 baños;142 m²;Fantástico dúplex amueblado y con terraza en corró d'avall. Este inmueble está a pie de todos los servicios y comercios locales, a...;41.629430398;2.299381233;2ª planta;barcelona
1.500 €/mes;Piso en Carrer de l'Estrella, 18;/alquilar/piso-sant_josep08901-45839434164_513606/;Sant Josep (L'Hospitalet de Llobregat);2 habs.;1 baño;140 m²;Disponible ya!! Todo nuevo reformado a estrenar, hermoso piso muy espacioso de 140 m² amueblado y listo para entrar a vivir en hos...;41.363106;2.107843;Bajo;barcelona
775 €/mes;;/alquilar/piso-valldaura08242-25865081545_100500/;Valldaura (Manresa);2 habs.;1 baño;80 m²;"Pis de lloguer en un emblemàtic edifici de manresa totalment rehabilitat. 
En ple cor de la ciutat, i a tant sols a 5 minuts del c...";41.726452296;1.815851479;1ª planta;barcelona
770 €/mes;;/alquilar/piso-placa_de_catalunya08242-44173610188_100500/;Plaça de Catalunya (Manresa);3 habs.;1 baño;85 m²;Estàs buscant un pis ampli, lluminós i còmode a manresa? No busquis més! Aquest pis de 80m², situat en un edifici totalment reform...;41.731567253;1.821014214;3ª planta;barcelona
520 €/mes;;/alquilar/piso-nord_el_sucre_universitat08500-43388939485_101300/;Nord-El Sucre-Universitat (Vic);1 hab.;2 baños;17 m²;Estudiants / erasmus: es lloga habitació ideal per estudiants en un pis compartit amb altres estudiants. A prop de la universitat....;41.928330973;2.251414053;;barcelona
4.000 €/mes;;/alquilar/casa_adosada-el_masnou_centro_urbano-42539468557_519977/;El Masnou;4 habs.;3 baños;280 m²;Casa de alquiler temporal. Elegante casa adosada esquinera, de 280m²(227m² útiles) ubicada en la localidad de el masnou. Situada e...;41.480446092;2.309461085;;barcelona
1.300 €/mes;;/alquilar/estudio-sants_montjuic_hostafrancs-30098980459_515865/;Hostafrancs (Distrito Sants-Montjuïc. Barcelona Capital);;1 baño;55 m²;"Ref rs6375

Estudio en alquiler temporal disponible a partir de julio

- bonito estudio de 55m en la mejor zona de sants, con espa...";41.3754096;2.1402759;;barcelona
1.400 €/mes;;/alquilar/piso-el_poble_sec08004-22552568559_515865/;El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital);2 habs.;1 baño;62 m²;"Ref rs6447

Piso de alquiler  temporal
Disponible a partir del 15 de junio.

- piso totalmente amueblado y equipado con todos los ...";41.3734008;2.1625705;Bajo;barcelona
825 €/mes;;/alquilar/piso-olesa_de_montserrat_centro_urbano-9192187349_101300/;Olesa de Montserrat;1 hab.;1 baño;50 m²;Vivienda ideal para alquiler de empresas o alquiler de temporada    ¡Por fin la has encontrado!      Magnífica vivienda, completam...;41.54370417;1.897457305;;barcelona
3.900 €/mes;Piso en Carrer de Josep Tarradellas;/alquilar/piso-can_mates_volpelleres08195-45084473787_108900/;Can Mates-Volpelleres (Sant Cugat del Vallès);4 habs.;3 baños;198 m²;"Espai natura es el primer proyecto plurifamiliar que construimos bajo el concepto de h.a.u.s.

Esta que ahora presentamos es su te...";41.471413;2.061232;3ª planta;barcelona
1.300 €/mes;;/alquilar/piso-el_raval08004-45862293980_500817/;El Raval (Distrito Ciutat Vella. Barcelona Capital);3 habs.;1 baño;Más de 20;Junto av paralel, disponemos de esta preciosa vivienda, amplia, luminosa y con terraza de uso privado. Tiene una superficie de 59m...;41.3739432;2.160912;;barcelona
1.400 €/mes;Piso en Carrer de la Mercè;/alquilar/piso-el_barri_gotic08002-32569174839_108900/;El Barri Gòtic (Distrito Ciutat Vella. Barcelona Capital);1 hab.;1 baño;63 m²;El apartamento está situado en el barrio gótico que realmente es el verdadero corazón de barcelona. Se encuentra en la zona cercan...;41.37884;2.179383;1ª planta;barcelona
2.000 €/mes;;/alquilar/atico-nord_el_sucre_universitat08500-41702951402_110300/;Nord-El Sucre-Universitat (Vic);6 habs.;3 baños;240 m²;Espectacular ático totalmente equipado con muebles y electrodomésticos en el centro de vic, con 240 m² construidos y 300m² de terr...;41.929278141;2.252531324;;barcelona
2.900 €/mes;;/alquilar/apartamento-les_corts_barrio08029-45907309596_100500/;Les Corts (Distrito Les Corts. Barcelona Capital);2 habs.;2 baños;90 m²;"Disponibilidad a partir del 15 de agosto

Alquiler de temporada  - entre 32 días y 11 meses

Sin gastos de agencia !!

¿ Quieres d...";41.3857484;2.1400938;4ª planta;barcelona
3.300 €/mes;;/alquilar/piso-sant_gervasi_galvany08021-45858313142_100500/;Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital);4 habs.;3 baños;168 m²;"Excelente piso de 4 dormitorios, terraza, parking junto a francesc maciá turó park.

Se alquila este estupendo piso reformado en u...";41.3941612;2.1443076;2ª planta;barcelona
5.300 €/mes;;/alquilar/atico-la_dreta_de_eixample08025-45024265209_522145/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);6 habs.;2 baños;210 m²;"Alquiler temporal
Disponibilidad: julio
Este impresionante ático en alquiler se encuentra en la zona de la dreta de l'eixample, en...";41.4012773;2.1695513;;barcelona
1.350 €/mes;;/alquilar/atico-llevantina_montgavina_quint_mar_garraf08871-45084887937_100500/;Llevantina-Montgavina-Quint-Mar-Garraf (Sitges);2 habs.;1 baño;60 m²;Alquiler temporal de uso distinto al de primera vivienda. Fantástico ático situado en la zona residencial de garraf con terraza a ...;41.2570463;1.9026685;;barcelona
3.900 €/mes;;/alquilar/piso-sant_gervasi_la_bonanova08022-43372821624_100500/;Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital);5 habs.;4 baños;172 m²;¡Bienvenidos a una oportunidad única en el corazón de barcelona! ¿Estás buscando el lugar perfecto para establecer tu hogar en una...;41.4085472;2.1378882;4ª planta;barcelona
3.900 €/mes;;/alquilar/piso-la_dreta_de_eixample08008-45834720886_141200/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;181 m²;"Maravilloso piso exterior de 181 m² construidos y 168m² útiles en paseo de gràcia en finca regia.
Situado en un entorno privilegia...";41.3939596;2.1631829;4ª planta;barcelona
800 €/mes;;/alquilar/duplex-centre_passeig_i_rodalies08241-45842511163_519054/;Centre-Passeig i Rodalies (Manresa);2 habs.;2 baños;130 m²;Este dúplex en alquiler en manresa se encuentra en la zona de sagrada família. Situado en la tercera planta y con una superficie t...;41.7259487;1.826053762;3ª planta;barcelona
1.100 €/mes;;/alquilar/estudio-el_putxet_el_farro08006-45851902047_527929/;El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital);1 hab.;1 baño;51 m²;"Alquiler de temporada: piso tipo loft en planta baja

¡Descubre tu nuevo hogar en el encantador barrio de el putxet i el farró en ...";41.402811;2.1471592;;barcelona
4.500 €/mes;;/alquilar/piso-el_camp_en_grassot_gracia_nova08025-45034141791_994552/;El Camp d'en Grassot-Gràcia Nova (Distrito Gràcia. Barcelona Capital);4 habs.;3 baños;196 m²;Precioso piso señorial en barcelona, ideal para pasar temporada de estudios o trabajo. Ubicado en zona céntrica, muy cerca de la s...;41.40522829;2.1685653;5ª planta;barcelona
1.737 €/mes;;/alquilar/piso-badalona_port08912-45886467967_100500/;Port (Badalona);3 habs.;2 baños;92 m²;"Piso en primera línea de mar, de 92 m², 3 habitaciones, 2 baños y zona comunitaria
Distribución:
•	salón comedor: amplio y luminos...";41.4414169;2.2452647;4ª planta;barcelona
1.790 €/mes;;/alquilar/piso-la_dreta_de_eixample08013-34250547954_100500/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);2 habs.;2 baños;84 m²;"Alquiler de temporada, mínimo: 6 meses, máximo: 11 meses o mientras dure el motivo temporal.

¿Tenemos que renunciar a un hogar si...";41.3982782;2.1757475;2ª planta;barcelona
2.500 €/mes;;/alquilar/piso-la_nova_esquerra_de_eixample08015-29183648694_100200/;La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital);3 habs.;2 baños;115 m²;"Vivienda de 112 m² en finca regia totalmente restaurada en el 2021,
Con ascensor. El inmueble cuenta con doble orientacion a tarra...";41.3842249;2.1537288;;barcelona
850 €/mes;;/alquilar/piso-nord_el_sucre_universitat-37581858705_513880/;Nord-El Sucre-Universitat (Vic);2 habs.;1 baño;85 m²;"Fantástico piso en alquiler en vic, muy céntrico, frente a estación de tren a pocos metros de la plaza mayor.
Piso con ascensor y...";41.930848689;2.249670792;1ª planta;barcelona
2.500 €/mes;;/alquilar/piso-granollers_centre08402-42566129553_501329/;Centre (Granollers);4 habs.;2 baños;100 m²;Vivienda en piso primero, de 4 habitaciones y 2 despachos que se alquila conjuntamente con el local de la planta baja en el pleno ...;41.6053253;2.289154;1ª planta;barcelona
3.000 €/mes;;/alquilar/piso-els_molins_poble_sec_pins_vens-45096292492_100500/;Els Molins-Poble Sec-Pins Vens (Sitges);3 habs.;2 baños;102 m²;Bonita planta baja con dos patios, uno delante y otro detrás, en alquiler de verano en els molins de sitges. Dispone de jacuzzi ex...;41.2406197;1.8173386;Bajo;barcelona
2.800 €/mes;;/alquilar/piso-les_botigues_de_sitges-38351956061_153800/;Les Botigues de Sitges (Sitges);3 habs.;2 baños;70 m²;"Espectacular vivienda de alquiler  en la zona de les botigues. 
En finca con ascensor y trastero. Vivienda de 2 habitaciones doble...";41.2584108;1.9225227;3ª planta;barcelona
775 €/mes;;/alquilar/piso-remei_montseny_la_guixa08500-45032219229_100500/;Remei-Montseny-La Guixa (Vic);3 habs.;2 baños;82 m²;Fantàstic pis d'obra nova en lloguer a la plaça de la noguera de vic. El pis està distribuït amb una cuina-office oberta al menjad...;41.919996491;2.250017506;;barcelona
5.000 €/mes;;/alquilar/piso-la_dreta_de_eixample08008-41686978108_106700/;La Dreta de l'Eixample (Distrito Eixample. Barcelona Capital);4 habs.;3 baños;144 m²;"Alquiler temporal, hasta 11 meses. Ya disponible. 

Amplio y elegante piso de 144m² construidos, de 4 habitaciones, 3 baños y un b...";41.3942019;2.1594223;;barcelona
2.650 €/mes;;/alquilar/piso-la_nova_esquerra_de_eixample08015-45865752656_101800/;La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital);4 habs.;2 baños;90 m²;Alquiler de temporada. Amueblado y equipado. Hermoso piso reformado, ubicado en las plantas altas de una finca regia con ascensor ...;41.3775683;2.1512484;4ª planta;barcelona
2.000 €/mes;;/alquilar/piso-el_baix_guinardo08025-43407192540_100500/;El Baix Guinardó (Distrito Horta-Guinardó. Barcelona Capital);3 habs.;2 baños;154 m²;Piso espectacular con terraza para alquiler de temporada (máximo 12 meses). Planta baja de 154m² exterior con 100m² de terraza a n...;41.4043981;2.1807293;;barcelona
1.490 €/mes;;/alquilar/piso-la_sagrada_familia08013-45906794954_100200/;La Sagrada Família (Distrito Eixample. Barcelona Capital);4 habs.;2 baños;68 m²;"Alquiler de temporada
Piso con vistas directas a la sagrada familia.
Ubicado en una 7ª planta real con ascensor a pie de planta, d...";41.4046943;2.1765157;7ª planta;barcelona
