precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
1.070.000€;Piso de alto standing de 157 m2 en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.1f1-x1nj1sK6/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.1/;08009, Provincia de Barcelona;3  habitaciones;3  baños;157  m²;Magnífico piso en venta de 157m2 construidos, con una bonita terraza de 12m2 y balcones con vistas a la calle, ha sido recientemente reformado...;Hace +30 días;LuxuryEstate;Barcelona
740.000€;Piso de lujo de 116 m2 en venta en Barcelona, España;https://rd.clk.thribee.com/id.1y1mU1K1_1UTr/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.2/;08008, Provincia de Barcelona;4  habitaciones;2  baños;116  m²;Savills presenta este centrico piso que ofrece comodidad y funcionalidad en un entorno urbano vibrante. Al ingresar, te reciben techos altos...;Hace +30 días;LuxuryEstate;Barcelona
630.000€;Piso exclusivo de 95 m2 en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.151-iWG-131i/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.3/;Provincia de Barcelona;3  habitaciones;2  baños;95  m²;...muy amplias, exteriores y desbordantes de luz natural, con terrazas, de pavimento y jardín para plantar tu propio huerto. (1 bajos, 4 pisos...;Hace +30 días;LuxuryEstate;Barcelona
1.050.000€;Piso de lujo en venta en La Dreta de l'Eixample, Barcelona, Cataluña;https://rd.clk.thribee.com/id.1IRaAB1IU9/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.4/;Provincia de Barcelona;3  habitaciones;2  baños;119  m²;Luminosas y espaciosas viviendas de obra nueva en pleno centro de la ciudad. Este moderno edificio de diseno dispone de magnificos piso a la...;Hace +30 días;LuxuryEstate;Barcelona
1.150.000€;Piso de lujo en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.Zfz13b1i1K1_/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.5/;08008, Provincia de Barcelona;3  habitaciones;2  baños;140  m²;En una emblemática Finca Regia del 1900 en una de las zonas más demandadas, presentamos este piso totalmente reformado conservando elementos...;Hace +30 días;LuxuryEstate;Barcelona
1.100.000€;Piso de lujo de 131 m2 en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.fL1hPo1M1G1Q/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.6/;Provincia de Barcelona;3  habitaciones;2  baños;131  m²;En una finca esquinera encontramos este piso con una distribución y una reforma especial y característica. Al entrar, un gran recibidor nos...;Hace +30 días;LuxuryEstate;Barcelona
995.000€;Piso de alto standing en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.n1Vg1bY1L1i1A/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.7/;08008, Provincia de Barcelona;4  habitaciones;2  baños;125  m²;...piso necesita una reforma, con la que te podrías hacer una vivienda a tus necesidades, gracias a que la mayoría de las paredes no son...;Hace 26 días;LuxuryEstate;Barcelona
640.000€;Piso de alto standing en venta en Barcelona, Cataluña;https://rd.clk.thribee.com/id.D1D1B-171c1O14/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.8/;08022, Provincia de Barcelona;2  habitaciones;2  baños;90  m²;En venta ESPECTACULAR piso rehabilitado integralmente de 90,40m2 en FINCA REGIA, en edificio de 1920 con ascensor, situado en Gran vía de les...;Hace +30 días;LuxuryEstate;Barcelona
1.100.000€;Piso de lujo de 194 m2 en venta en Barcelona, España;https://rd.clk.thribee.com/id.1JR1_1So131H1H/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.9/;08008, Provincia de Barcelona;5  habitaciones;4  baños;194  m²;Magnífico piso esquinero totalmente exterior, amplio y muy luminoso. La vivienda es un 3ª planta real, tiene un gran salón comedor de 34m2 con...;Hace +30 días;LuxuryEstate;Barcelona
639.500€;Piso de alto standing en venta en Barcelona, España;https://rd.clk.thribee.com/id.u81Kb1S1j1W1y/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.113791trovit-web-7f7dc96976-6wgt866880d4f070bb/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.piso%20barcelona%20provincia/type.1/page.29/cookieid.102010466880d4edfece8.83911008/pos.10/;Provincia de Barcelona;2  habitaciones;1  baños;110  m²;Piso ubicado en Illa del Cel, un complejo residencial exclusivo de dos torres a cuatro vientos conectadas por espacios comunes en Diagonal Mar...;Hace +30 días;LuxuryEstate;Barcelona
