precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta;CCAA
900 €/mes;;/alquilar/piso-carabanchel_buenavista28044-37513024493_100500/;Buenavista (Distrito Carabanchel. Madrid Capital);1 baño;55 m²;Piso situado  en calle de la duquesa de tamámes, 28044, madrid, madrid, en la zona del carabanchel alto, en la planta baja. Es un ...;40.3688105;-3.7483014;2 habs.;Bajo;madrid
1.950 €/mes;Piso en calle Castelló, 71;/alquilar/piso-salamanca_castellana28001-45924003036_100500/;Castellana (Distrito Salamanca. Madrid Capital);2 baños;90 m²;Comotucasa presenta éste inmueble recientemente reformado en calle de castelló. Se trata de una vivienda exterior con grandes vent...;40.4295;-3.68138;1 hab.;1ª planta;madrid
2.000 €/mes;;/alquilar/piso-jeronimos28014-45002355583_109300/;Jerónimos (Distrito Retiro. Madrid Capital);1 baño;83 m²;"Jerónimos / retiro
Descubre la exclusividad y el diseño de este impresionante piso, situado en la cuarta planta de un edificio con...";40.4083964;-3.6896519;1 hab.;;madrid
2.500 €/mes;;/alquilar/piso-acacias28005-38421651852_100200/;Acacias (Distrito Arganzuela. Madrid Capital);2 baños;126 m²;"'agencia inmobiliaria de madrid zona pirámides -acacias - paseo de las yeserias.

Vende piso de alta gama situado en pleno parque ...";40.3996568;-3.710711;4 habs.;4ª planta;madrid
969 €/mes;;/alquilar/piso-villaverde_los_angeles28041-40840174662_101800/;Los Ángeles (Distrito Villaverde. Madrid Capital);1 baño;78 m²;"Vivienda en villaverde-los ángeles. Vivienda protegida vppl*

Bonito piso de reciente construcción, con una superficie de 78 m², d...";40.3588;-3.70104;2 habs.;3ª planta;madrid
980 €/mes;;/alquilar/piso-chamartin_ciudad_jardin28002-32527496680_100500/;Ciudad Jardín (Distrito Chamartín. Madrid Capital);;41 m²;"Vivienda interior a un amplio patio de manzana, luminosa, con pequeña terraza y lista para entrar a vivir. 

La cocina, equipada c...";40.4481371;-3.674139;1 hab.;5ª planta;madrid
780 €/mes;;/alquilar/loft-villaverde_san_andres28021-45848139294_100500/;San Andrés (Distrito Villaverde. Madrid Capital);1 baño;40 m²;"Inmobiliaria elite alquila en exclusiva estupendo loft/estudio de obra nueva con plaza de parking y piscina

Sin comisión de agenc...";40.3340354;-3.7023684;;;madrid
2.900 €/mes;;/alquilar/piso-fuente_del_berro28028-45091353247_524228/;Fuente del Berro (Distrito Salamanca. Madrid Capital);3 baños;149 m²;"Buscamos perfiles de trabajadores y familias. 

Esta vivienda es amplia, alegre y muy luminosa gracias a su orientación sur. Esta ...";40.4267104;-3.6643045;3 habs.;Bajo;madrid
1.900 €/mes;;/alquilar/chalet-la_pizarra28200-35017393082_100500/;La Pizarra (San Lorenzo de El Escorial);3 baños;220 m²;"Inmobiliaria vohome propiedades collado villalba:

Chalet adosado situado en la urbanización felipe ii de san lorenzo del escorial...";40.6130643;-4.1163905;4 habs.;;madrid
1.250 €/mes;;/alquilar/piso-retiro_estrella28007-45906633004_101800/;Estrella (Distrito Retiro. Madrid Capital);1 baño;89 m²;Sm homes gestión inmobiliaria, ofrece en exclusiva estupenda vivienda con una ubicación inmejorable, justo al lado de la parada de...;40.4063804;-3.6692629;2 habs.;6ª planta;madrid
1.130 €/mes;Piso en calle Teleferico de las Canteras, 2;/alquilar/piso-el_canaveral-4369095354_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);1 baño;108 m²;"Vtm6. 
Vivienda adaptada con 60 metros de terraza

Promoción de obra nueva de 75 viviendas protegidas en régimen de alquiler con d...";40.3960808;-3.546201;2 habs.;;madrid
1.380 €/mes;;/alquilar/piso-moncloa_aravaca_aravaca28023-44264197127_100500/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;50 m²;Acogedor apartamento ubicado en una de las mejores zonas residenciales de aravaca, en el que poder disfrutar en cohousing, de bien...;40.4472102;-3.7807125;1 hab.;2ª planta;madrid
