precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude;CCAA
1.500 €/mes;Piso en calle de José Miguel de Barandiarán Ayerbe, 4;/alquilar/piso-santutxu48006-35899192433_525887/;Santutxu (Distrito Begoña-Santutxu. Bilbao);3 habs.;2 baños;110 m²;1ª planta;Vivienda totalmente reformada denominada amarenea, destinada al alquiler de estudiantes, totalmente reformada a estrenar de tres h...;43.25549773270196;-2.9140000343911097;vizcaya_bizkaia
1.100 €/mes;Piso en Atxuri;/alquilar/piso-atxuri48006-45001173327_102200/;Atxuri (Distrito Ibaiondo. Bilbao);3 habs.;2 baños;85 m²;1ª planta;Piso para alquiler estudiantes desde el septiembre a junio,   vivienda totalmente reformada, consta de 3 habitaciones y 2 baños co...;43.2531809;-2.9214342;vizcaya_bizkaia
3.000 €/mes;Piso en Plaza de Euskadi;/alquilar/piso-abandoibarra_guggenheim48009-45073296939_101800/;Abandoibarra-Guggenheim (Distrito Abando. Bilbao);3 habs.;3 baños;150 m²;1ª planta;Inmobiliaria campuzano alquila piso de lujo en una de las zonas más emblemáticas de bilbao, en la plaza euskadi, cercano al museo ...;43.2674297;-2.9374617;vizcaya_bizkaia
3.300 €/mes;Piso en Alameda de Urquijo;/alquilar/piso-abando_ensanche48008-35024347523_109300/;Abando Ensanche (Distrito Abando. Bilbao);6 habs.;5 baños;352 m²;;Alquiler de piso para estudiantes en bilbao, alameda de urquijo, 8. (zona corte inglés). Exterior en rotonda y con terraza. 275m² ...;43.2611781;-2.930147;vizcaya_bizkaia
960 €/mes;Piso en Auntzetxeta Kalea;/alquilar/piso-masustegi_mintegitxueta48002-44185167699_100500/;Masustegi-Mintegitxueta (Distrito Basurtu-Zorrotza. Bilbao);2 habs.;1 baño;67 m²;5ª planta;Inmobiliaria indautxu pone en alquiler un piso de dos habitaciones, sala, baño y cocina independiente a pocos minutos del hospital...;43.2583112;-2.9559268;vizcaya_bizkaia
1.350 €/mes;Piso en Agirre Lehendakariaren Etorbidea;/alquilar/piso-ibarrekolanda48015-45084581875_101800/;Ibarrekolanda (Distrito Deustu. Bilbao);3 habs.;2 baños;87 m²;1ª planta;"Estudio sani 2020 s.l pone en alquiler piso en lehendakari aguirre con balcon.

Estudiantes o trabajadores. 87m² de vivienda, dist...";43.2766014;-2.9605348;vizcaya_bizkaia
2.000 €/mes;Piso en Indautxu;/alquilar/piso-indautxu48011-44237190825_109300/;Indautxu (Bilbao);3 habs.;2 baños;112 m²;;"Rodriguez arias /alameda de recalde
Piso para estrenar para estancias temporales en el centro de bilbao. Se encuentra ubicado en l...";43.2618872;-2.9348378;vizcaya_bizkaia
2.400 €/mes;Piso en Abando;/alquilar/piso-abando_ensanche48001-44253101833_109300/;Abando Ensanche (Distrito Abando. Bilbao);4 habs.;2 baños;145 m²;;Inmobiliaria althena alquila precioso piso en el ensanche. Alquiler destinado a grupos de estudiantes, profesionales o familias. A...;43.2631719;-2.9251761;vizcaya_bizkaia
1.950 €/mes;Piso en calle de Krutzeta;/alquilar/piso-gorliz_centro_urbano-45039346003_528475/;Gorliz;1 hab.;1 baño;50 m²;4ª planta;Se alquila coqueto apartamento en el centro de gorliz para los meses de julio y agosto. Sala, 1 habitación, cocina equipada, baño....;43.4137071;-2.9332553;vizcaya_bizkaia
1.200 €/mes;Piso en Agirre Lehendakariaren Etorbidea;/alquilar/piso-san_ignazio_elorrieta48015-41695993953_102200/;San Ignazio-Elorrieta (Distrito Deustu. Bilbao);3 habs.;1 baño;105 m²;3ª planta;"Se alquila piso para trabajadores temporales o estudiantes curso 2024/2025 en avda. lehendakari aguirre

95 m²   hall, amplio saló...";43.278998;-2.96122;vizcaya_bizkaia
2.800 €/mes;Piso en Indautxu;/alquilar/piso-indautxu48013-42560180468_108900/;Indautxu (Bilbao);5 habs.;2 baños;125 m²;;"Disponible julio y agosto 2024

Piso muy luminoso junto a la plaza campuzano.

Bonita vivienda en indautxu de 115m² aprox., distri...";43.2634733;-2.9420501;vizcaya_bizkaia
950 €/mes;Piso en calle de Beurko;/alquilar/piso-bagatza_san_vicente48902-45077027873_102200/;Bagatza-San Vicente (Barakaldo);2 habs.;1 baño;65 m²;5ª planta;Estupendo piso en beurko berría ¡ Con garaje!  inmobiliaria broker te ofrece en alquiler este estupendo piso distribuido en salón ...;43.3001976;-2.993479;vizcaya_bizkaia
2.000 €/mes;Piso en Gandia Auzoa;/alquilar/piso-gorliz_centro_urbano-45024816097_528475/;Gorliz;2 habs.;1 baño;78 m²;2ª planta;Se alquila piso en gandias auzoa, gorliz. Salón con salida a terraza cerrada, 2 habitaciones, cocina equipada con balcón, baño. Es...;43.399387751;-2.941093223;vizcaya_bizkaia
