precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
750€;Granada 18002 1ES67327-;https://rd.clk.thribee.com/id.1v1_1MBk1tj1g/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16086trovit-web-7f7dc96976-89xn6668715b6ad192/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.1/cookieid.102139668715b6acb966.88249569/pos.23/;18002, Granada, Provincia de Granada;-;1  baños;-;...se encuentra en Granada Granada 18002. Tiene 0 dormitorio, 1 baño. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 750...;Hace 10 días;Listanza;Granada
675€;Granada 18015 1ES56003-;https://rd.clk.thribee.com/id.1S1VL1bS817/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16086trovit-web-7f7dc96976-89xn6668715b6ad192/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.1/cookieid.102139668715b6acb966.88249569/pos.24/;18015, Granada, Provincia de Granada;-;-;-;...Esta casa se encuentra en Granada Granada 18015. Tiene 0 dormitorio. Esta 0 dormitorio apartamentos en Granada Granada es para alquilar por 675...;Hace 10 días;Listanza;Granada
1.400€;2 dormitorio, Granada 18002 1ES63037-;https://rd.clk.thribee.com/id.1cA1Ow561u1u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.16086trovit-web-7f7dc96976-89xn6668715b6ad192/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.1/cookieid.102139668715b6acb966.88249569/pos.25/;18002, Granada, Provincia de Granada;2  habitaciones;-;-;...casa se encuentra en Granada Granada 18002. Tiene 2 dormitorios. Esta 2 dormitorio apartamentos en Granada Granada es para alquilar por 1400...;Hace +30 días;Listanza;Granada
990€;Flat - Granada (Alhamar);https://rd.clk.thribee.com/id.1ko41i91916e/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.1/;18004, Provincia de Granada;3  habitaciones;1  baños;96  m²;Flat. Granada (Alhamar), Built Surface 96m, 3 Bedrooms, 1 Bathrooms, Lift...;Hace 17 días;Rentola;Granada
390€;Habitación en piso compartido en Granada;https://rd.clk.thribee.com/id.1n1T1N1L1Z1r1s1K/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.2/;04160, Provincia de Granada;5  habitaciones;-;105  m²;...you will be able to get in touch with the property manager partner and to rent your home 100% online. Habitación en piso compartido en Granada...;Hace 17 días;Rentola;Granada
635€;Cjón. de Lebrija, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1nUB1wk5n8/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.3/;18012, Provincia de Granada;1  habitaciones;1  baños;-;Student accommodation in Granada. The price is without Half board. Half Board extra cost of 220 € It is ideally located right next to the...;Hace 1 día;Rentola;Granada
335€;Habitación equipada en piso compartido en Ronda, Granada;https://rd.clk.thribee.com/id.1T1Al151v1yU1t/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.4/;18400, Provincia de Granada;5  habitaciones;-;130  m²;...5 nuevas habitaciones en piso compartido en la zona interior de Ronda, con fácil acceso a la universidad del campus de Fuentenueva Granada...;Hace 17 días;Rentola;Granada
696€;C. Emperatriz Eugenia, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1ViX-1S1Jg7/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.5/;18002, Provincia de Granada;1  habitaciones;1  baños;-;Studio apartment for rent in Granada. The properties include balcony, air conditioning and elevator. You will share the bathroom with other...;Hace 1 día;Rentola;Granada
310€;Habitación amueblada en piso compartido en Ronda, Granada;https://rd.clk.thribee.com/id.1Y1m1FIScQ16/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.6/;18400, Provincia de Granada;5  habitaciones;-;130  m²;...and to rent your home 100% online. Cinco habitaciones en alquiler en un apartamento luminoso con balcones cerca de la Universidad de Granada...;Hace 17 días;Rentola;Granada
290€;Charismatic single bedroom close to the Granada train station;https://rd.clk.thribee.com/id.1x121K1f1ZKwZ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.7/;18011, Provincia de Granada;7  habitaciones;1  baños;-;Have you packed your bags and you're headed to Granada for your next student experience and want a calm spot to live Perfect! Now, finding an...;Hace 4 días;Rentola;Granada
330€;Spacious double bedroom in central close to Granada city center;https://rd.clk.thribee.com/id.1y1sxoe1r1v4/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.8/;18004, Provincia de Granada;6  habitaciones;2  baños;-;Se alquilan lujosas habitaciones en Granada, las habitaciones disponen de todas las comodidades y el piso está compuesto por 2 baños, un aseo...;Hace 17 días;Rentola;Granada
775€;Piso de 1 dormitorio en alquiler en Granada;https://rd.clk.thribee.com/id.1z1KC1SO1Fq1l/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.9/;20001, Provincia de Granada;1  habitaciones;1  baños;36  m²;...manager partner and to rent your home 100% online. Piso de 1 dormitorio amueblado en alquiler en Granada. La propiedad está en la planta baja...;Hace 17 días;Rentola;Granada
345€;Gran habitación en apartamento de 5 dormitorios en Ronda, Granada;https://rd.clk.thribee.com/id.1zV1MS161k1W1r/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.10/;18400, Provincia de Granada;5  habitaciones;-;-;...de Granada está a sólo 20 minutos a pie y el parque García Lorca está a sólo 10 minutos a pie, por lo que hay mucho que hacer en su día libre...;Hace 17 días;Rentola;Granada
1.100€;Calle Montalbán, Granada - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.2h1s1Op12jQ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.11/;18002, Provincia de Granada;1  habitaciones;1  baños;-;Tasteful 1-bedroom apartment in the vibrant centre of Granada...;Hace 1 día;Rentola;Granada
1.240€;Cool twin bedroom for near central Granada;https://rd.clk.thribee.com/id.1r6K1X1qK1YL/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.176279trovit-web-7f7dc96976-xn65g668715b91631f/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.granada%20provincia/type.2/page.15/cookieid.1021157668715b915bf38.73515442/pos.12/;18005, Provincia de Granada;5  habitaciones;2  baños;-;Welcome to the lively city of Granada! We hope you brought your sunglasses because you're going to love it here! If you've come here to study...;Hace 7 días;Rentola;Granada
