precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
950.000 €;Chalet en C.C. Pablo Ruiz Picasso;/comprar/chalet-playamar_benyamina-45836926045_100500/;Playamar-Benyamina (Torremolinos);2 habs.;1 baño;550 m²;"Chalet pareado de 5 plantas
550 m² construidos, 370 m² útiles

Planta media: jardín, salón, cocina, terraza
Planta primera: 4 habi...";36.63256702;-4.49689707;;malaga
220.000 €;Chalet en Arenas de Vélez;/comprar/chalet-arenas_de_velez-35093749147_100500/;Arenas de Vélez (Arenas);2 habs.;2 baños;80 m²;Casa de campo compuesta de 2 plantas: arriba salon y habitación como despacho, abajo pequeño salón- cocina y un dormitorio. Dispon...;36.815117953;-4.043871768;;malaga
395.000 €;Ático en Plaza de Toros-Las Albarizas-La Ermita;/comprar/atico-plaza_de_toros_las_albarizas_la_ermita29603-45014532548_515126/;Plaza de Toros-Las Albarizas-La Ermita (Distrito Centro. Marbella);3 habs.;3 baños;108 m²;Este piso es todo un espectáculo, con vistas al mar desde cada rincón del inmueble. Consta de 3 dormitorios, 2 baños y un aseo, di...;36.5105355;-4.8735907;;malaga
269.000 €;Finca rústica en Benamocarra;/comprar/finca_rustica-benamocarra_centro_urbano-44219048197_106700/;Benamocarra;3 habs.;1 baño;138 m²;Esta encantadora finca está situada en una ubicación serena y tranquila, ofreciendo vistas pintorescas del paisaje circundante. La...;36.7928227;-4.1651954;;malaga
245.000 €;Casa rústica en Viñuela;/comprar/casa_rustica-vinuela_centro_urbano-45009229385_101800/;Viñuela;2 habs.;1 baño;110 m²;"**¡Oportunidad única! Encantadora casa rural en venta a solo 10 minutos de vélez málaga**

Sumérgete en la tranquilidad y el encan...";36.8634969;-4.1413452;;malaga
184.520 €;Piso en calle Juan Carlos I -El Porton;/comprar/piso-alhaurin_de_la_torre_centro-45044585180_100500/;Centro (Alhaurín de la Torre);3 habs.;1 baño;84 m²;Te invitamos a conocer este encantador piso de 84 m², en una 3ª planta sin ascensor en el magnífico pueblo de alhaurín de la tor...;36.6619567;-4.5671671;3ª planta;malaga
480.000 €;Chalet unifamiliar en Urbanización Lomas del Sol;/comprar/chalet_unifamiliar-velez_malaga_benajarafe29790-45899298945_500898/;Benajarafe (Vélez-Málaga);3 habs.;2 baños;143 m²;"Chalet unifamiliar  con encanto de una sola planta con vistas bonitas en benajarafe - malaga 

Situada en el apacible vecindario d...";36.721230355;-4.202466879;;malaga
695.000 €;Ático en Atico, Tres Dormitorios, Terraza de 30 M2;/comprar/atico-el_higueral_palacio_de_deportes_martin_carpena2900-45862732497_100500/;El Higueral-Palacio de Deportes Martín Carpena (Distrito Carretera de Cádiz. Málaga Capital);3 habs.;2 baños;119 m²;Tlf/ whatsapp: (+34) 670,671,098. Atico a estrenar, con  terraza de 31 metros,  en nueva promoción junto al mar, y hospital quirón...;36.6841806;-4.4516829;;malaga
177.000 €;Apartamento en Avenida Andalucía, 198;/comprar/apartamento-caleta_de_velez_lagos29751-41765226954_106700/;Caleta de Vélez-Lagos (Vélez-Málaga);1 hab.;1 baño;55 m²;Referencia v-758 magnifica inversión (actualmente alquilado en 550 euros). En venta estupendo apartamento en caleta de vélez, junt...;36.74949716512036;-4.069215523463132;1ª planta;malaga
199.500 €;Chalet en calle Lentisco;/comprar/chalet-fuente_de_piedra_centro_urbano29520-45848022792_100500/;Fuente de Piedra;3 habs.;1 baño;100 m²;"¡Bienvenidos al oasis de sus sueños en fuente de piedra!

Desde el momento en que pone un pie en esta propiedad, se sentirá acogid...";37.1344908;-4.73614;;malaga
240.000 €;Apartamento en Los Hidalgos;/comprar/apartamento-urbanizacion_el_hacho_la_duquesa_golf-45852110390_100500/;Urbanización El Hacho-La Duquesa Golf (Manilva);2 habs.;2 baños;107 m²;"Apartamento en segunda línea de playa dentro del pueblo costero de san luis de sabinillas.

Este apartamento ubicado en planta baj...";36.3590629;-5.2343857;Bajo;malaga
185.000 €;Piso en La Luz-Virgen de Belén;/comprar/piso-la_luz_virgen_de_belen29004-44190733687_100200/;La Luz-Virgen de Belén (Distrito Carretera de Cádiz. Málaga Capital);3 habs.;1 baño;79 m²;"¡¡ Piso en venta en la luz !!
Vivienda en una 5ª planta con ascensor muy luminoso.
Salón grande con acceso a terraza exterior, coc...";36.6966578;-4.455581;5ª planta;malaga
226.500 €;Ático en Doña Julia;/comprar/atico-dona_julia_golf_club29690-42526275812_100500/;Doña Julia Golf Club (Casares);3 habs.;2 baños;209 m²;Situado en el prestigioso resort de golf doña julia, en la pintoresca localidad costera y montañosa de casares , en pleno corazón ...;36.3988;-5.23602;;malaga
