precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
175.000 €;Casa en Camino de la Galera, 7;/comprar/casa-almunecar_taramay-43359869321_100500/;Taramay (Almuñécar);2 habs.;2 baños;110 m²;"Magnifico duplex situado a 300 m de unas de las mejores playas de almuñecar  la playa del tesorillo en velilla-taramay.
Este duple...";36.7477;-3.66102;;granada
269.900 €;Casa pareada en calle La Rioja, nº 5;/comprar/casa_pareada-zona_calle_san_francisco_pedro_verde-45094655062_100500/;Zona Calle San Francisco-Pedro Verde (Las Gabias);3 habs.;3 baños;248 m²;Situado en una zona exclusiva y tranquila de chalets, esta impresionante propiedad se distribuye en tres plantas para ofrecerte el...;37.1283;-3.67496;;granada
310.000 €;Chalet en calle de los Jardines, 14;/comprar/chalet-villa_de_otura_centro_urbano-43392042118_100500/;Villa de Otura;6 habs.;4 baños;377 m²;Esta distinguida residencia ofrece seis espaciosos dormitorios y dos elegantes baños, uno de ellos exquisitamente revestido en már...;37.0905;-3.63123;;granada
169.900 €;;/comprar/casa-peligros_centro_urbano-45921786054_527574/;Peligros;4 habs.;3 baños;165 m²;Presentamos esta encantadora casa adosada, situada en una de las mejores zonas de peligros, granada. Con un total de 171 metros cu...;37.2313599;-3.631373;;granada
162.000 €;;/comprar/casa_adosada-belicena-45868996659_100500/;Belicena (Vegas del Genil);4 habs.;3 baños;183 m²;"Belicena,  casa adosada en venta  vegas del genil
¡¡Te presentamos esta bonita y amplia casa adosada!!! 

Consta de cuatro dormito...";37.174895;-3.6890387;;granada
460.000 €;;/comprar/casa-aljomahima_ermita_nuestra_senora_de_las_nieves-39202965912_100500/;Aljomahima-Ermita Nuestra Señora de las Nieves (Las Gabias);3 habs.;2 baños;695 m²;¡Se vende espectacular chalet! Ideal para una gran familia con posibilidad de dos viviendas totalmente independientes y beneficiat...;37.144038;-3.6828863;;granada
59.999 €;;/comprar/piso-playa_granada18613-43392450515_109300/;Playa Granada (Motril);1 hab.;1 baño;61 m²;Piso en la zona del puerto de motril,  a unos 20 minutos andando de la playa mas cercana, ubicado en casco urbano con servicios ce...;36.7243063;-3.5214947;;granada
214.900 €;;/comprar/chalet_rustico-pueblo_nuevo_las_ventillas-44196068610_999165/;Pueblo Nuevo-Las Ventillas (Motril);4 habs.;2 baños;3.168 m²;"Magnífica casa en el campo junto a las ventillas

Una bonita casa enclavada en una finca de unos 6 marjales en la zona de puntalón...";36.7281902;-3.4812995;;granada
195.000 €;;/comprar/chalet-huetor_vega_centro_urbano-45024187827_100500/;Huétor Vega;3 habs.;2 baños;170 m²;Descubre el encanto de vivir en huétor vega, una localidad que combina la tranquilidad de un entorno residencial con la comodidad ...;37.1519539;-3.5636323;;granada
132.900 €;;/comprar/piso-zona_de_san_cayetano_avenida_cristobal_colon-44206028148_100500/;Zona de San Cayetano-Avenida Cristóbal Colón (Churriana de La Vega);2 habs.;1 baño;70 m²;"¡Oportunidad única en churriana, en la codiciada zona del vial!

Ponemos a la venta este magnífico piso que combina comodidad y ub...";37.1499824;-3.6522224;1ª planta;granada
222.900 €;;/comprar/casa_pareada-alhendin_centro_urbano-45888804927_100500/;Alhendín;3 habs.;2 baños;170 m²;Por fin has llegado al anuncio de la que va a ser tu futuro hogar!!!. Que si, que te lo digo yo. Que difícilmente vas a encontrar ...;37.1054313;-3.6619016;;granada
124.500 €;;/comprar/piso-huetor_de_santillan_centro_urbano-42557929972_100500/;Huétor de Santillán;1 hab.;1 baño;52 m²;"¿Sueña con vivir en la mejor zona del pueblo en un ático dúplex con muchísima luz y una terraza de ensueño?
Aquí le presentamos es...";37.219188459;-3.516937548;1ª planta;granada
298.000 €;;/comprar/chalet-padul_centro_urbano-32532826620_100500/;Padul;5 habs.;4 baños;345 m²;Este exclusivo chalet independiente está ubicado en la urbanización el puntal, a solo un paso de padul, una localidad bien comunic...;37.034784923;-3.633433607;;granada
119.000 €;;/comprar/piso-belicena-45856929680_523152/;Belicena (Vegas del Genil);2 habs.;2 baños;104 m²;¡Descubre tu nuevo hogar en belicena, vegas de genil! Este espectacular piso de 104 m² construidos y 73 m² útiles te ofrece un esp...;37.175659;-3.6941954;2ª planta;granada
105.000 €;;/comprar/piso-atarfe_centro_urbano-41731411140_100500/;Atarfe;4 habs.;1 baño;128 m²;Se ofrece un encantador piso ubicado en el corazón de atarfe. Este acogedor hogar cuenta con todas las comodidades. Se distribuye ...;37.2246827;-3.6873688;2ª planta;granada
90.000 €;;/comprar/apartamento-maracena_centro_urbano-45866564383_528615/;Maracena;1 hab.;1 baño;150 m²;Oportunidad! Sale a la venta un precioso apartamento independiente con un dormitorio, baño y cocina amueblada más un estupendo loc...;37.2048093;-3.6314636;Bajo;granada
695.000 €;Casa en Camino del Trabuco, 1;/comprar/casa-fuente_camacho-45070621674_528460/;Fuente Camacho (Loja);8 habs.;6 baños;520 m²;2011 homes les presenta una propiedad verdaderamente excepcional, una joya rara ubicada en gran parcela completamente vallada que ...;37.10792680370088;-4.251059451697216;;granada
205.000 €;;/comprar/piso-motril_centro18600-44167768193_525961/;Centro (Motril);5 habs.;2 baños;189 m²;"Piso muy luminoso en el centro de la ciudad de motril, muy grande con sus mas de 170m² habitables.
Este piso se ubica en una de la...";36.7441723;-3.516289;1ª planta;granada
399.000 €;Chalet en calle de Oporto, 7;/comprar/chalet-huetor_vega_centro_urbano-45921183243_100500/;Huétor Vega;4 habs.;5 baños;250 m²;¿Buscas un lugar único para vivir? ¿Donde la tranquilidad y la calidad de vida sean tu día a día? ¡No busques más! Esta encantador...;37.1529;-3.56099;;granada
320.000 €;Chalet pareado en calle de San Pablo, 1;/comprar/chalet_pareado-ogijares_centro_urbano-45041872823_996567/;Ogíjares;4 habs.;2 baños;170 m²;¡Descubre tu nuevo hogar en la exclusiva urbanización de san nicolás, a solo un paso de granada! Esta magnífica casa/chalet paread...;37.13036324222129;-3.6261796234187216;;granada
199.500 €;;/comprar/piso-armilla_san_anton18100-45869986198_100200/;San Antón (Armilla);3 habs.;2 baños;87 m²;¡Descubre tu nuevo hogar en el corazón de armilla! Este piso de reciente construcción, terminado en 2023, se encuentra en una ubic...;37.143411;-3.6257678;;granada
390.000 €;Chalet en calle Guadalquvir (Ur.Atalaya), nº 25;/comprar/chalet-albolote_centro_urbano-45880354745_100500/;Albolote;4 habs.;3 baños;216 m²;Unifamiliar en venta y amueblada completamente, año de construcción del 2007, superficie de parcela de 332 metros, 216 metros cons...;37.2539;-3.64426;;granada
323.000 €;;/comprar/chalet-villa_de_otura_centro_urbano-44236533767_100500/;Villa de Otura;3 habs.;3 baños;270 m²;"¡Ven a descubrir tu nuevo hogar en otura, en la exclusiva urbanización viñas del rey, de la mano de re/max cima! 

Déjate seducir ...";37.0916352;-3.646129;;granada
250.000 €;Piso en Paseo del Padre Manjón, 1;/comprar/piso-albaicin_distrito18010-39243178215_100500/;Albaicín (Granada Capital);3 habs.;1 baño;99 m²;Este piso de 99.00 m², ubicado en el corazón del histórico albaycín, espera con emocionantes posibilidades de diseño que te perm...;37.1788;-3.59019;2ª planta;granada
189.900 €;Ático en calle Poeta Zorrilla, 15;/comprar/atico-genil_cervantes18006-45878143182_100500/;Cervantes (Distrito Genil. Granada Capital);2 habs.;1 baño;61 m²;¿Buscas un hogar junto al centro de granada? Este atico de ensueño te está esperando. Con dos dormitorios y una reforma reciente q...;37.1656;-3.59506;;granada
198.500 €;Casa adosada en Avenida Alcalde Francisco García Lara,  S/N;/comprar/casa_adosada-pulianillas-3066687011_109700/;Pulianillas (Pulianas);3 habs.;3 baños;113 m²;Nº 5. Casa adosada de obra nueva, de 113 m² de superficie construida, y situada en la zona de pulianas.  Está estructurada en 3 ha...;37.2181924;-3.6083413;;granada
147.500 €;Piso en calle de la Rosa,  s/n;/comprar/piso-ogijares_centro_urbano-4632882141_109700/;Ogíjares;1 hab.;1 baño;49 m²;Bajo D. Piso en un inmueble de obra nueva de 49 m2 de superficie construida y emplazado en la zona de Ogíjares, posicionado en planta baja. Está dispuesto en 1 habitación, 1 baño completo y terraza de 52,05 m2.;37,116891513;-3,606518932;Bajo;granada
126.000 €;;/comprar/atico-granada_capital_chana18015-42576275653_100500/;Chana (Granada Capital);2 habs.;1 baño;85 m²;Con vistas a sierra nevada, esta fantástica y última planta, semi-reformada, se ubica junto al parque del centro de salud de la ch...;37.191684;-3.6261335;;granada
115.000 €;Piso en calle de la Camelia, 10;/comprar/piso-zona_calle_poniente_avenida_cristobal_colon18100-33359866551_100500/;Zona Calle Poniente-Avenida Cristóbal Colón (Armilla);1 hab.;1 baño;49 m²;"—(••÷  🎀  próxima construcción de pisos y áticos de 2, 3 y 4 habitaciones y oficinas en armilla.  🎀  ÷••(—

3 grandes razones pa...";37.1478;-3.62619;1ª planta;granada
365.400 €;;/comprar/casa-alhendin_centro_urbano-43389892173_100500/;Alhendín;4 habs.;3 baños;302 m²;"Residencial  , villa de lujo pareada e individuales, de 3  dormitorios, con parcelas
Privadas y diseño actual.
Las viviendas tiene...";37.107948567;-3.64523712;;granada
380.000 €;;/comprar/casa-cajar_centro_urbano-40903161841_100500/;Cájar;3 habs.;1 baño;129 m²;"Casa unifamiliar de obra nueva situada en la zona de bellavista, cájar

Vivienda de 3 dormitorios y dispone de garaje para dos veh...";37.12518021;-3.568833752;;granada
232.000 €;;/comprar/piso-castano_mirasierra18007-40022489022_106000/;Castaño-Mirasierra (Distrito Genil. Granada Capital);2 habs.;2 baños;89 m²;"¿Quiere vivir en una de las mejores zonas de la ciudad?
Esta sin duda es su oportunidad por la ubicación, por el edificio, por las...";37.153911;-3.5959716;3ª planta;granada
379.900 €;;/comprar/piso-camino_de_ronda18003-44196439406_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);4 habs.;2 baños;138 m²;Si está buscando un piso amplio y luminoso, con plaza de garaje y trastero, no te pierdas esta fantástica vivienda de 138m² constr...;37.1748524;-3.6089302;8ª planta;granada
180.000 €;Finca rústica en calle Carretera de Suspiro, nº 1;/comprar/finca_rustica-almunecar_casco_urbano-44174681579_528234/;Casco Urbano (Almuñécar);;;7.500 m²;"En almuñécar, se encuentra esta finca rústica en venta con una superficie total de 7500 m². 

La parcela tiene una superficie de 7...";36.75003632278876;-3.6864993820364873;;granada
149.000 €;;/comprar/piso-zona_avenida_de_los_ogijares-43431501727_100500/;Zona Avenida de los Ogíjares (Armilla);2 habs.;;66 m²;Te presentamos este encantador piso de 66 metros cuadrados, ubicado en armilla, en calle girasol. Construido en 2006, este acogedo...;37.1385709;-3.6259641;1ª planta;granada
307.000 €;Piso en Avenida de Federico García Lorca,  s/n;/comprar/piso-los_periodistas_parque_almunia_albayda18014-4535691764_109700/;Los Periodistas-Parque Almunia-Albayda (Granada Capital);3 habs.;2 baños;108 m²;3º a. Piso en un edificio de obra nueva de 108 m² de superficie construida y ubicado en la zona de granada capital, enclavado en p...;37.2021844;-3.6188642;3ª planta;granada
238.900 €;;/comprar/casa_adosada-zona_de_san_cayetano_avenida_cristobal_colon-45833823827_527574/;Zona de San Cayetano-Avenida Cristóbal Colón (Churriana de La Vega);3 habs.;3 baños;180 m²;"""se vende encantadora casa adosada en churriana de la vega, a pocos minutos de armilla . Esta maravillosa propiedad cuenta con tre...";37.1482623;-3.6275319;;granada
49.900 €;Casa adosada en calle de Ayllonas, 11;/comprar/casa_adosada-illora_centro_urbano-95846123094_101800/;Íllora;4 habs.;2 baños;270 m²;"Oferton!!!! Gran bajada de precio!! Antes por 59.900€ ahora por solo 49.900€ un chollo!!!
Gran casa adosada en el centro histórico...";37.28748848504074;-3.880344734977003;;granada
222.900 €;;/comprar/casa_pareada-alhendin_centro_urbano-45931626220_100500/;Alhendín;3 habs.;2 baños;170 m²;Casa pareada en alhendin, residencial la quinta, parcela de 334 mts, urbanización tranquila, rodeada de naturaleza a pocos minutos...;37.1040797;-3.661427;;granada
73.900 €;;/comprar/casa-guejar_sierra_centro_urbano-32595123217_100500/;Güéjar Sierra;4 habs.;1 baño;148 m²;En una finca de más de 2.000m², ubicada en plena naturaleza.  A pocos kilómetros del pueblo de güejar sierra y de la estación de e...;37.1583076;-3.4418183;;granada
380.000 €;;/comprar/casa-santa_fe_centro_urbano-45064279390_100500/;Santa Fe;5 habs.;5 baños;294 m²;Espectacular casa junto a la entrada de santa fe con 531 metros de parcela y casi 300m² de vivienda. Tiene una amplia fachada con ...;37.190105;-3.709401;;granada
