precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
270.000 €;;/comprar/piso-las_chapas_elviria-38408854941_100500/;Elviria (Distrito Las Chapas. Marbella);3 habs.;104 m²;Fantástico piso en venta en la estupenda zona de elviria, en marbella, málaga. Este amplio piso cuenta con 103 metros cuadrados út...;36.4995346;-4.7863878;2 baños;2ª planta;malaga
183.000 €;;/comprar/apartamento-mijas_las_lagunas29651-39179473973_103800/;Las Lagunas (Mijas);2 habs.;85 m²;"Residencial con viviendas de 1 ,2 y 3 dormitorios
Residencial mijasol es un bonito residencial de 56 apartamentos de 1, 2 y 3 dorm...";36.539511;-4.6454106;2 baños;;malaga
635.000 €;;/comprar/casa_adosada-urbanizacion_el_hacho_la_duquesa_golf-42503930767_105300/;Urbanización El Hacho-La Duquesa Golf (Manilva);3 habs.;175 m²;Esta es una hermosa casa grande que consta de 3 dormitorios, 2,5 baños, piscina privada, primera línea de golf y vistas abiertas a...;36.3559963;-5.2349859;2 baños;;malaga
410.000 €;;/comprar/piso-cerrado_de_calderon29018-43362922675_100500/;Cerrado de Calderón (Distrito Este. Málaga Capital);3 habs.;115 m²;"Precioso piso en cerrado de calderón, una de las mejores zonas de málaga. 
La vivienda pertenece a un conjunto residencial, con zo...";36.7402102;-4.3790875;2 baños;Bajo;malaga
477.000 €;;/comprar/atico-bel_air_cancelada_saladillo29680-45050484971_100500/;Bel-Air-Cancelada-Saladillo (Estepona);3 habs.;140 m²;"Ático exclusivo con vistas al mar en cancelada, estepona - ¡Una oportunidad única!
Sumérgete en el lujo costero con este magnífico...";36.4639017;-5.053051;2 baños;;malaga
380.000 €;;/comprar/chalet-velez_malaga_nucleo_urbano29700-90848359877_108500/;Núcleo Urbano (Vélez-Málaga);5 habs.;387 m²;Amplia y estupenda casa situada en el centro histórico de vélez málaga, a escasos metros de la iglesia de san juan. Desde la terra...;36.782514261;-4.103215787;2 baños;;malaga
238.000 €;;/comprar/finca_rustica-mollina_centro_urbano-40924019056_100500/;Mollina;4 habs.;139 m²;Espectacular finca  a tan sólo 45 minutos del aeropuerto de málaga ,  venta  en el  municipio de mollina provincia de malaga de 10...;37.1241512;-4.6579776;2 baños;;malaga
279.000 €;Piso en calle Coin,  s/n;/comprar/piso-cartama_centro_urbano-2779268270_109700/;Cártama;3 habs.;108 m²;Portal 2, bajo b. Piso en una finca de obra nueva de 108 m² de superficie construida y emplazado en la zona de cártama, posicionad...;36.7340315;-4.6119407;2 baños;Bajo;malaga
345.000 €;;/comprar/piso-santa_paula_la_paz_los_guindos_parque_mediterraneo-45834662578_516849/;Santa Paula-La Paz-Los Guindos-Parque Mediterráneo (Distrito Carretera de Cádiz. Málaga Capital);4 habs.;132 m²;Exclusivo piso luminoso con reforma integral, antes 5 dormitorios , ahora 4, dos de ellos dobles . Un dormitorio se ha unido a la ...;36.69496809;-4.450222234;2 baños;5ª planta;malaga
645.000 €;Ático en calle *;/comprar/atico-benalmadena_montealto-4593266501_109700/;Montealto (Benalmádena);3 habs.;121 m²;"MR-5221.
Ático Dúplex con 95,41 m2 de  vivienda y 92,00 m2 de espacios exteriores entre terraza cubierta, descubierta y solarium¡¡¡";36,6053079;-4,543055;2 baños;;malaga
