precio;sub_descr;href;ubicacion;habitaciones;mt2;otros;latitude;longitude;banios;planta;CCAA
180.000 €;;/comprar/piso-ciutat_vella_la_barceloneta08003-44234426551_100200/;La Barceloneta (Distrito Ciutat Vella. Barcelona Capital);2 habs.;33 m²;Luminosa vivienda actualmente arrendada a termino dando una buena rentabilidad, distribuida en 2 dormitorios exteriores, salón - c...;41.3767282;2.1892738;;1ª planta;barcelona
315.000 €;;/comprar/piso-el_baix_guinardo08041-43417435913_100200/;El Baix Guinardó (Distrito Horta-Guinardó. Barcelona Capital);4 habs.;91 m²;"Inmueble de 91m² reformado y con buena comunicación a menos de 1 minuto del hospital de sant pau.
 Ubicado en una 1 planta real c...";41.4154411;2.1756475;2 baños;;barcelona
198.000 €;;/comprar/piso-morera_pomar-38422502297_500513/;Morera-Pomar (Badalona);2 habs.;60 m²;¡No pierdas la oportunidad de adquirir este precioso piso en venta! Situado en una zona tranquila, pero a solo 2 minutos del centr...;41.4584453;2.2476908;1 baño;Bajo;barcelona
315.000 €;;/comprar/piso-horta_guinardo_horta08031-43426389487_100200/;Horta (Distrito Horta-Guinardó. Barcelona Capital);3 habs.;83 m²;Hedilla – horta residencial piso de 82 metros cuadrados útiles esquinero y todo exterior con terraza y balcón. Se distribuye en un...;41.4350301;2.162714825;1 baño;3ª planta;barcelona
165.000 €;;/comprar/piso-nou_barris_roquetes08042-45893631798_100200/;Roquetes (Distrito Nou Barris. Barcelona Capital);2 habs.;40 m²;Casa totalment exterior acabada de reformar, de 40m² dhabitatge i 40m² de terrassa, consta de dos dormitoris, cuina tipus american...;41.4474574;2.1734102;1 baño;;barcelona
590.000 €;;/comprar/chalet-collbato_centro_urbano-45076917969_100500/;Collbató;3 habs.;314 m²;Situado en un entorno tranquilo con vistas a la montaña de montserrat, con gran jardín y bonita piscina son algunas de las caracte...;41.562836218;1.820029921;2 baños;;barcelona
420.000 €;;/comprar/chalet-santa_eulalia_de_roncana_centro_urbano-45027832543_135200/;Santa Eulàlia de Ronçana;3 habs.;192 m²;Esta impresionante villa en venta en santa eulàlia de ronçana ofrece una superficie total de 191,86 m², distribuidos en un chalet ...;41.650803856;2.207897577;2 baños;;barcelona
279.000 €;;/comprar/chalet_adosado-llefia_artigues08913-43381663023_516600/;Llefià-Artigues (Badalona);3 habs.;120 m²;Excelente casa adosada en venta de construcción de 1999 y reformada en 2017, con fachada de obra vista, terraza y garaje junto al ...;41.4397968;2.2177912;1 baño;;barcelona
371.000 €;;/comprar/casa-canoves-43384014043_135200/;Cànoves (Cànoves i Samalús);4 habs.;299 m²;Finques la llar de granollers vende: esta impresionante casa en cànoves y samalús con una superficie total de 299 m². La casa cuen...;41.6807136;2.3635191;3 baños;;barcelona
109.000 €;;/comprar/piso-can_palet08223-45082976425_516838/;Can Palet (Distrito Can Palet-Xúquer. Terrassa);3 habs.;79 m²;Gran oportunidad de tener una vivienda de 79m² en perfecto estado y completamente exterior en una finca con ascensor a un precio m...;41.5543519;2.028652;1 baño;2ª planta;barcelona
