"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","427115.755","4583409.775","427023.854","4583208.831","2.127029","41.397107","BUS -V7--","05","23","Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428299.983","4586502.673","428208.072","4586301.7","2.140827","41.425069","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433308.876","4585192.352","433216.919","4584991.389","2.200909","41.4137","BUS -H12--","10","71","Sant Martí","Provençals del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431133.112","4580705.316","431041.173","4580504.396","2.175389","41.373103","BUS -21--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430243.037","4588167.209","430151.109","4587966.22","2.163885","41.440232","BUS -122-185--","08","48","Nou Barris","la Guineueta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427895.843","4583852.187","427803.935","4583651.238","2.136307","41.401162","BUS -H6--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427568.228","4586952.193","427476.324","4586751.216","2.132016","41.429052","BUS -112--","07","39","Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430328.042","4580261.129","430236.111","4580060.213","2.165814","41.369033","BUS -150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430426.467","4579823.62","430334.535","4579622.708","2.167041","41.365101","BUS -150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429629.129","4578794.537","429537.204","4578593.635","2.157628","41.355763","BUS -107--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429217.159","4578481.561","429125.237","4578280.662","2.15274","41.352908","BUS -107--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429940.679","4579566.051","429848.751","4579365.142","2.161263","41.362739","BUS -150--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","427895.843","4583852.187","427803.935","4583651.238","2.136307","41.401162","NITBUS -N0--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430574.817","4584241.908","430482.885","4584040.955","2.168308","41.404908","BUS -47-H8--","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430574.817","4584241.908","430482.885","4584040.955","2.168308","41.404908","NITBUS -N4--","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429911.912","4587983.882","429819.987","4587782.895","2.159943","41.438552","BUS -185--","07","43","Horta-Guinardó","Horta","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430490.179","4588358.797","430398.249","4588157.806","2.166821","41.441979","NITBUS -N4-N6--","08","49","Nou Barris","Canyelles","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432842.275","4584259.591","432750.322","4584058.637","2.19543","41.40526","NITBUS -N7--","10","68","Sant Martí","el Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","424808.773","4586957.274","424716.895","4586756.298","2.098994","41.428844","BUS -128--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429951.971","4584588.436","429860.044","4584387.48","2.160817","41.407975","BUS -39-114-116--","06","32","Gràcia","el Camp d'en Grassot i Gràcia Nova","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432466.264","4584365.792","432374.314","4584164.837","2.19092","41.406185","NITBUS -N2--","10","66","Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431046.078","4587963.202","430954.142","4587762.214","2.17352","41.438464","BUS -47-76-H4-H2-M19-182--","08","48","Nou Barris","la Guineueta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431415.545","4588413.02","431323.606","4588212.028","2.177891","41.442547","BUS -76-H2-D50--","08","51","Nou Barris","Verdun","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431415.545","4588413.02","431323.606","4588212.028","2.177891","41.442547","NITBUS -N1--","08","51","Nou Barris","Verdun","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431507.96","4588687.83","431416.02","4588486.836","2.178966","41.44503","NITBUS -N1--","08","51","Nou Barris","Verdun","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431147.386","4588678.266","431055.45","4588477.272","2.174651","41.444913","BUS -11-60-V29--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431386.983","4588783.685","431295.044","4588582.69","2.177507","41.445883","BUS -11-60-127-V29--","08","50","Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430085.946","4585503.242","429994.019","4585302.277","2.162313","41.416226","BUS -114--","07","34","Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429601.158","4584426.518","429509.235","4584225.564","2.156639","41.406486","BUS -39--","06","31","Gràcia","la Vila de Gràcia","",""
