CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K014,Transports i serveis relacionats,Autobusos diürns,427803.935,4583651.238,2.136307,41.401162,BUS -H6--,5.0,26.0,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K014,Transports i serveis relacionats,Autobusos diürns,427476.324,4586751.216,2.132016,41.429052,BUS -112--,7.0,39.0,Horta-Guinardó,Sant Genís dels Agudells
K014,Transports i serveis relacionats,Autobusos diürns,430236.111,4580060.213,2.165814,41.369033,BUS -150--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,430334.535,4579622.708,2.167041,41.365101,BUS -150--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,429537.204,4578593.635,2.157628,41.355763,BUS -107--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,429125.237,4578280.662,2.15274,41.352908,BUS -107--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,429848.751,4579365.142,2.161263,41.362739,BUS -150--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K015,Transports i serveis relacionats,Autobusos nocturns,427803.935,4583651.238,2.136307,41.401162,NITBUS -N0--,5.0,26.0,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K014,Transports i serveis relacionats,Autobusos diürns,430482.885,4584040.955,2.168308,41.404908,BUS -47-H8--,6.0,32.0,Gràcia,el Camp d'en Grassot i Gràcia Nova
K015,Transports i serveis relacionats,Autobusos nocturns,430482.885,4584040.955,2.168308,41.404908,NITBUS -N4--,6.0,32.0,Gràcia,el Camp d'en Grassot i Gràcia Nova
K014,Transports i serveis relacionats,Autobusos diürns,429819.987,4587782.895,2.159943,41.438552,BUS -185--,7.0,43.0,Horta-Guinardó,Horta
K015,Transports i serveis relacionats,Autobusos nocturns,430398.249,4588157.806,2.166821,41.441979,NITBUS -N4-N6--,8.0,49.0,Nou Barris,Canyelles
K015,Transports i serveis relacionats,Autobusos nocturns,432750.322,4584058.637,2.19543,41.40526,NITBUS -N7--,10.0,68.0,Sant Martí,el Poblenou
K014,Transports i serveis relacionats,Autobusos diürns,424716.895,4586756.298,2.098994,41.428844,BUS -128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,429860.044,4584387.48,2.160817,41.407975,BUS -39-114-116--,6.0,32.0,Gràcia,el Camp d'en Grassot i Gràcia Nova
