DISTRITOS,EXPEDIENTES INSTRUIDOS,CONTACTOS CON CENTROS ESCOLARES,CON VICTIMAS,SIN VICTIMAS,EXPEDIENTES,PERSONAS DETENIDAS E INVESTIGADAS,RELACIONADAS CON LAS PERSONAS,RELACIONADAS CON EL PATRIMONIO,POR TENENCIA DE ARMAS,POR TENENCIA DE DROGAS,POR CONSUMO DE DROGAS,PROPIEDAD INTELECTUAL E INDUSTRIAL,INFRACCIONES ALIMENTARIAS
VILLA DE VALLECAS,1.0,0.0,23.0,25.0,11.0,10.0,7.0,11.0,0.0,7.0,0.0,0.0,1.0
VILLAVERDE,1.0,0.0,29.0,34.0,14.0,37.0,7.0,9.0,2.0,53.0,12.0,32.0,63.0
ARGANZUELA,1.0,12.0,31.0,42.0,42.0,15.0,2.0,7.0,3.0,2.0,1.0,0.0,5.0
BARAJAS,0.0,23.0,13.0,30.0,4.0,11.0,5.0,4.0,0.0,4.0,1.0,0.0,1.0
CARABANCHEL,3.0,1.0,48.0,67.0,32.0,40.0,10.0,8.0,2.0,33.0,3.0,4.0,34.0
CENTRO,12.0,5.0,40.0,60.0,52.0,173.0,31.0,135.0,12.0,153.0,41.0,117.0,104.0
CHAMARTÍN,1.0,0.0,52.0,60.0,18.0,31.0,5.0,4.0,0.0,35.0,5.0,1.0,6.0
CHAMBERÍ,3.0,2.0,43.0,38.0,13.0,15.0,2.0,4.0,4.0,25.0,1.0,1.0,3.0
CIUDAD LINEAL,6.0,1.0,50.0,59.0,34.0,33.0,5.0,17.0,2.0,27.0,4.0,1.0,10.0
FUENCARRAL - EL PARDO,4.0,49.0,40.0,42.0,33.0,28.0,3.0,5.0,0.0,18.0,2.0,0.0,1.0
HORTALEZA,0.0,66.0,25.0,40.0,15.0,19.0,5.0,9.0,2.0,45.0,11.0,0.0,2.0
LATINA,12.0,13.0,20.0,42.0,32.0,45.0,13.0,7.0,2.0,27.0,1.0,3.0,42.0
MONCLOA - ARAVACA,15.0,8.0,33.0,49.0,19.0,24.0,2.0,8.0,4.0,13.0,5.0,2.0,14.0
MORATALAZ,6.0,17.0,14.0,23.0,15.0,8.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,15.0,,,,,,,,
PUENTE DE VALLECAS,3.0,15.0,51.0,99.0,57.0,76.0,24.0,30.0,3.0,87.0,6.0,5.0,5.0
RETIRO,1.0,12.0,42.0,47.0,14.0,13.0,3.0,9.0,2.0,13.0,7.0,6.0,8.0
SALAMANCA,0.0,4.0,65.0,48.0,13.0,48.0,9.0,37.0,0.0,12.0,3.0,0.0,6.0
SAN BLAS - CANILLEJAS,6.0,18.0,37.0,30.0,27.0,25.0,4.0,10.0,6.0,21.0,1.0,1.0,13.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,7.0,20.0,39.0,31.0,30.0,23.0,5.0,7.0,0.0,11.0,1.0,1.0,6.0
TOTAL,98.0,301.0,751.0,935.0,533.0,702.0,149.0,348.0,50.0,585.0,100.0,152.0,302.0
USERA,6.0,13.0,31.0,38.0,28.0,17.0,7.0,7.0,0.0,11.0,1.0,0.0,31.0
VICÁLVARO,3.0,15.0,20.0,19.0,9.0,11.0,1.0,11.0,1.0,13.0,2.0,0.0,0.0
VILLA DE VALLECAS,0.0,2.0,25.0,25.0,15.0,18.0,5.0,15.0,2.0,14.0,3.0,2.0,4.0
VILLAVERDE,9.0,5.0,32.0,46.0,16.0,29.0,6.0,10.0,4.0,18.0,0.0,8.0,7.0
ARGANZUELA,0.0,17.0,29.0,48.0,14.0,29.0,8.0,7.0,0.0,15.0,2.0,0.0,2.0
BARAJAS,5.0,48.0,16.0,23.0,8.0,9.0,1.0,9.0,0.0,3.0,0.0,0.0,1.0
CARABANCHEL,1.0,23.0,66.0,69.0,32.0,61.0,11.0,14.0,3.0,49.0,11.0,24.0,23.0
CENTRO,13.0,10.0,54.0,74.0,42.0,178.0,33.0,100.0,5.0,328.0,48.0,159.0,84.0
CHAMARTÍN,1.0,6.0,70.0,64.0,9.0,29.0,3.0,6.0,5.0,65.0,18.0,22.0,5.0
CHAMBERÍ,5.0,9.0,39.0,37.0,7.0,15.0,4.0,3.0,2.0,37.0,1.0,1.0,0.0
CIUDAD LINEAL,5.0,9.0,51.0,52.0,24.0,61.0,13.0,29.0,3.0,56.0,0.0,7.0,11.0
FUENCARRAL - EL PARDO,3.0,59.0,35.0,73.0,20.0,26.0,7.0,2.0,2.0,19.0,4.0,3.0,1.0
HORTALEZA,7.0,47.0,44.0,35.0,10.0,22.0,4.0,8.0,4.0,60.0,6.0,0.0,0.0
LATINA,3.0,32.0,41.0,52.0,24.0,46.0,6.0,6.0,14.0,37.0,9.0,8.0,35.0
MONCLOA - ARAVACA,0.0,17.0,39.0,59.0,10.0,23.0,7.0,6.0,1.0,14.0,3.0,1.0,19.0
MORATALAZ,3.0,19.0,23.0,41.0,4.0,9.0,2.0,11.0,1.0,5.0,1.0,0.0,1.0
OTRAS COMISARÍAS,,,,,5.0,,,,,,,,
PUENTE DE VALLECAS,7.0,15.0,52.0,76.0,39.0,114.0,20.0,41.0,7.0,54.0,7.0,17.0,7.0
RETIRO,0.0,3.0,37.0,50.0,9.0,13.0,5.0,3.0,1.0,7.0,5.0,12.0,6.0
SALAMANCA,0.0,9.0,56.0,73.0,10.0,64.0,5.0,41.0,2.0,13.0,2.0,1.0,0.0
SAN BLAS - CANILLEJAS,15.0,36.0,42.0,50.0,16.0,44.0,7.0,19.0,0.0,24.0,1.0,22.0,24.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,8.0,77.0,35.0,50.0,20.0,41.0,7.0,12.0,0.0,18.0,4.0,14.0,2.0
TOTAL,84.0,497.0,831.0,1049.0,354.0,874.0,164.0,359.0,58.0,849.0,132.0,315.0,247.0
USERA,1.0,13.0,28.0,55.0,11.0,33.0,6.0,14.0,3.0,20.0,4.0,7.0,15.0
VICÁLVARO,2.0,6.0,14.0,11.0,9.0,7.0,2.0,2.0,3.0,5.0,1.0,0.0,0.0
VILLA DE VALLECAS,0.0,4.0,28.0,28.0,14.0,22.0,5.0,18.0,1.0,5.0,1.0,4.0,3.0
VILLAVERDE,5.0,38.0,32.0,29.0,17.0,28.0,8.0,8.0,1.0,15.0,4.0,13.0,8.0
ARGANZUELA,1.0,7.0,31.0,58.0,16.0,21.0,4.0,5.0,3.0,8.0,5.0,9.0,3.0
BARAJAS,1.0,14.0,13.0,23.0,5.0,5.0,1.0,10.0,0.0,15.0,0.0,0.0,1.0
CARABANCHEL,6.0,13.0,48.0,72.0,31.0,53.0,26.0,23.0,7.0,33.0,6.0,21.0,84.0
CENTRO,29.0,5.0,47.0,67.0,41.0,165.0,24.0,120.0,4.0,311.0,30.0,155.0,24.0
CHAMARTÍN,0.0,29.0,56.0,71.0,10.0,28.0,5.0,13.0,1.0,46.0,62.0,36.0,49.0
CHAMBERÍ,5.0,3.0,39.0,33.0,9.0,22.0,3.0,4.0,0.0,26.0,1.0,5.0,0.0
CIUDAD LINEAL,0.0,0.0,46.0,56.0,20.0,37.0,13.0,11.0,4.0,30.0,0.0,0.0,9.0
FUENCARRAL - EL PARDO,10.0,49.0,32.0,62.0,27.0,30.0,5.0,8.0,3.0,15.0,1.0,3.0,1.0
HORTALEZA,16.0,50.0,28.0,37.0,16.0,18.0,2.0,4.0,0.0,22.0,0.0,0.0,0.0
LATINA,15.0,12.0,30.0,51.0,37.0,37.0,6.0,6.0,3.0,35.0,2.0,6.0,28.0
MONCLOA - ARAVACA,0.0,21.0,34.0,53.0,10.0,25.0,7.0,21.0,2.0,11.0,4.0,3.0,4.0
MORATALAZ,2.0,43.0,13.0,31.0,5.0,7.0,7.0,2.0,1.0,5.0,1.0,0.0,0.0
OTRAS COMISARÍAS,,,,,14.0,,,,,,,,
PUENTE DE VALLECAS,22.0,12.0,46.0,82.0,42.0,106.0,19.0,23.0,7.0,81.0,4.0,10.0,8.0
RETIRO,5.0,17.0,28.0,45.0,4.0,7.0,4.0,2.0,2.0,1.0,2.0,19.0,9.0
SALAMANCA,0.0,5.0,50.0,62.0,18.0,63.0,4.0,45.0,2.0,8.0,0.0,1.0,0.0
SAN BLAS - CANILLEJAS,11.0,36.0,21.0,34.0,16.0,21.0,5.0,13.0,6.0,10.0,0.0,11.0,36.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,9.0,11.0,32.0,40.0,17.0,23.0,4.0,14.0,2.0,5.0,0.0,22.0,3.0
TOTAL,166.0,388.0,667.0,1017.0,399.0,759.0,161.0,367.0,55.0,724.0,125.0,337.0,402.0
USERA,0.0,10.0,27.0,55.0,31.0,29.0,9.0,12.0,2.0,9.0,4.0,14.0,103.0
VICÁLVARO,5.0,10.0,13.0,16.0,3.0,6.0,1.0,9.0,1.0,29.0,0.0,1.0,2.0
VILLA DE VALLECAS,18.0,10.0,15.0,33.0,11.0,18.0,9.0,8.0,3.0,7.0,1.0,0.0,0.0
VILLAVERDE,11.0,31.0,18.0,36.0,16.0,38.0,3.0,14.0,2.0,17.0,2.0,21.0,38.0
ARGANZUELA,2.0,16.0,45.0,47.0,19.0,16.0,2.0,6.0,0.0,9.0,5.0,2.0,5.0
BARAJAS,2.0,34.0,14.0,17.0,7.0,4.0,3.0,5.0,2.0,8.0,0.0,0.0,0.0
CARABANCHEL,3.0,15.0,52.0,64.0,46.0,26.0,9.0,16.0,14.0,91.0,17.0,16.0,111.0
CENTRO,20.0,11.0,47.0,65.0,44.0,188.0,47.0,125.0,7.0,204.0,44.0,192.0,153.0
CHAMARTÍN,0.0,4.0,58.0,53.0,23.0,23.0,6.0,14.0,1.0,53.0,26.0,8.0,21.0
CHAMBERÍ,7.0,11.0,44.0,35.0,29.0,22.0,1.0,5.0,1.0,42.0,9.0,1.0,5.0
CIUDAD LINEAL,5.0,2.0,55.0,65.0,26.0,38.0,13.0,13.0,2.0,20.0,1.0,3.0,7.0
FUENCARRAL - EL PARDO,2.0,67.0,49.0,54.0,62.0,12.0,1.0,5.0,1.0,37.0,4.0,1.0,4.0
HORTALEZA,3.0,53.0,33.0,48.0,20.0,11.0,3.0,8.0,2.0,48.0,5.0,0.0,0.0
LATINA,0.0,1.0,32.0,41.0,40.0,44.0,20.0,13.0,7.0,82.0,14.0,17.0,88.0
MONCLOA - ARAVACA,3.0,18.0,32.0,61.0,17.0,22.0,4.0,6.0,2.0,7.0,5.0,1.0,5.0
MORATALAZ,4.0,12.0,15.0,28.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
OTRAS COMISARÍAS,,,,,17.0,,,,,,,,
PUENTE DE VALLECAS,5.0,26.0,64.0,83.0,66.0,76.0,21.0,38.0,7.0,75.0,5.0,8.0,13.0
RETIRO,11.0,8.0,33.0,40.0,11.0,16.0,3.0,7.0,1.0,25.0,4.0,39.0,30.0
SALAMANCA,0.0,0.0,65.0,70.0,19.0,45.0,7.0,25.0,1.0,21.0,1.0,3.0,4.0
SAN BLAS - CANILLEJAS,18.0,47.0,44.0,41.0,18.0,21.0,13.0,20.0,1.0,83.0,11.0,3.0,3.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,16.0,32.0,31.0,40.0,25.0,20.0,13.0,5.0,2.0,8.0,1.0,9.0,7.0
TOTAL,138.0,420.0,822.0,1004.0,567.0,665.0,192.0,342.0,60.0,841.0,159.0,334.0,489.0
USERA,12.0,29.0,30.0,53.0,27.0,28.0,4.0,4.0,1.0,3.0,1.0,9.0,21.0
VICÁLVARO,9.0,20.0,17.0,21.0,8.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0
VILLA DE VALLECAS,0.0,1.0,29.0,30.0,24.0,20.0,8.0,14.0,3.0,6.0,4.0,4.0,2.0
VILLAVERDE,16.0,13.0,33.0,48.0,10.0,25.0,6.0,8.0,4.0,18.0,2.0,18.0,10.0
ARGANZUELA,0.0,3.0,41.0,47.0,12.0,19.0,1.0,10.0,1.0,8.0,1.0,4.0,2.0
BARAJAS,1.0,33.0,11.0,26.0,2.0,2.0,1.0,3.0,1.0,10.0,0.0,0.0,0.0
CARABANCHEL,0.0,20.0,50.0,65.0,46.0,59.0,14.0,16.0,4.0,26.0,5.0,7.0,36.0
CENTRO,22.0,7.0,63.0,66.0,45.0,192.0,40.0,110.0,115.0,297.0,54.0,705.0,30.0
CHAMARTÍN,4.0,9.0,51.0,85.0,21.0,23.0,4.0,12.0,4.0,68.0,38.0,17.0,18.0
CHAMBERÍ,4.0,17.0,36.0,60.0,17.0,11.0,4.0,8.0,2.0,22.0,3.0,2.0,3.0
CIUDAD LINEAL,2.0,9.0,45.0,57.0,29.0,25.0,5.0,15.0,2.0,12.0,0.0,0.0,1.0
FUENCARRAL - EL PARDO,1.0,36.0,47.0,71.0,25.0,17.0,4.0,4.0,2.0,11.0,1.0,0.0,3.0
HORTALEZA,10.0,78.0,24.0,41.0,16.0,20.0,4.0,12.0,2.0,19.0,2.0,1.0,0.0
LATINA,0.0,0.0,41.0,44.0,19.0,50.0,9.0,7.0,3.0,13.0,2.0,2.0,19.0
MONCLOA - ARAVACA,0.0,17.0,46.0,55.0,13.0,17.0,3.0,17.0,0.0,9.0,1.0,1.0,8.0
MORATALAZ,5.0,31.0,29.0,27.0,7.0,16.0,3.0,4.0,0.0,7.0,2.0,0.0,0.0
OTRAS COMISARÍAS,,,,,10.0,,,,,,,,
PUENTE DE VALLECAS,6.0,24.0,43.0,71.0,47.0,66.0,15.0,53.0,5.0,76.0,13.0,11.0,7.0
RETIRO,0.0,13.0,38.0,56.0,8.0,9.0,1.0,4.0,0.0,14.0,1.0,17.0,6.0
SALAMANCA,0.0,7.0,59.0,69.0,17.0,53.0,9.0,39.0,1.0,7.0,1.0,2.0,0.0
SAN BLAS - CANILLEJAS,13.0,54.0,40.0,44.0,17.0,17.0,9.0,10.0,4.0,9.0,0.0,1.0,2.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,1.0,30.0,45.0,36.0,26.0,33.0,3.0,6.0,1.0,8.0,0.0,8.0,14.0
TOTAL,87.0,439.0,803.0,1041.0,436.0,698.0,150.0,366.0,149.0,632.0,132.0,807.0,209.0
USERA,7.0,14.0,29.0,44.0,27.0,24.0,11.0,13.0,1.0,5.0,2.0,27.0,30.0
VICÁLVARO,8.0,14.0,11.0,18.0,15.0,10.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0
VILLA DE VALLECAS,1.0,1.0,29.0,26.0,12.0,10.0,2.0,12.0,1.0,0.0,1.0,1.0,5.0
VILLAVERDE,2.0,22.0,25.0,33.0,5.0,25.0,7.0,6.0,0.0,9.0,4.0,1.0,25.0
ARGANZUELA,0.0,1.0,44.0,45.0,16.0,25.0,10.0,6.0,0.0,17.0,1.0,9.0,5.0
BARAJAS,6.0,38.0,15.0,21.0,5.0,14.0,4.0,6.0,2.0,5.0,0.0,0.0,5.0
CARABANCHEL,1.0,20.0,42.0,67.0,42.0,39.0,18.0,16.0,7.0,60.0,2.0,24.0,146.0
CENTRO,16.0,4.0,55.0,72.0,94.0,184.0,38.0,108.0,13.0,272.0,85.0,401.0,17.0
CHAMARTÍN,0.0,1.0,65.0,75.0,21.0,19.0,1.0,7.0,1.0,18.0,2.0,34.0,16.0
CHAMBERÍ,2.0,21.0,48.0,49.0,15.0,11.0,6.0,3.0,0.0,50.0,1.0,4.0,1.0
CIUDAD LINEAL,3.0,2.0,51.0,64.0,36.0,34.0,7.0,7.0,6.0,29.0,6.0,2.0,2.0
FUENCARRAL - EL PARDO,3.0,72.0,47.0,85.0,31.0,22.0,7.0,12.0,3.0,29.0,1.0,0.0,6.0
HORTALEZA,5.0,90.0,40.0,34.0,38.0,10.0,2.0,5.0,2.0,32.0,2.0,1.0,0.0
LATINA,1.0,2.0,45.0,42.0,37.0,43.0,7.0,16.0,5.0,28.0,1.0,8.0,31.0
MONCLOA - ARAVACA,4.0,11.0,43.0,60.0,20.0,9.0,7.0,7.0,1.0,12.0,5.0,0.0,10.0
MORATALAZ,2.0,33.0,27.0,28.0,7.0,10.0,8.0,4.0,0.0,2.0,5.0,1.0,0.0
OTRAS COMISARÍAS,,,,,15.0,,,,,,,,
PUENTE DE VALLECAS,6.0,23.0,56.0,97.0,56.0,60.0,22.0,24.0,11.0,75.0,2.0,5.0,14.0
RETIRO,3.0,24.0,48.0,48.0,21.0,14.0,4.0,5.0,1.0,5.0,0.0,20.0,5.0
SALAMANCA,5.0,5.0,69.0,62.0,26.0,78.0,10.0,56.0,2.0,15.0,0.0,7.0,3.0
SAN BLAS - CANILLEJAS,6.0,61.0,46.0,62.0,22.0,24.0,6.0,16.0,2.0,18.0,5.0,0.0,23.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,0.0,44.0,39.0,48.0,31.0,32.0,4.0,10.0,0.0,15.0,4.0,24.0,15.0
TOTAL,82.0,484.0,869.0,1095.0,630.0,680.0,185.0,340.0,66.0,720.0,133.0,554.0,348.0
USERA,8.0,14.0,34.0,36.0,56.0,13.0,6.0,13.0,1.0,10.0,1.0,1.0,24.0
VICÁLVARO,7.0,5.0,12.0,17.0,12.0,5.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0
VILLA DE VALLECAS,0.0,1.0,17.0,42.0,13.0,13.0,10.0,11.0,4.0,9.0,3.0,6.0,4.0
VILLAVERDE,4.0,12.0,26.0,41.0,16.0,21.0,8.0,5.0,5.0,18.0,7.0,5.0,20.0
ARGANZUELA,0.0,2.0,27.0,39.0,18.0,21.0,2.0,5.0,3.0,34.0,1.0,0.0,5.0
BARAJAS,0.0,26.0,10.0,24.0,4.0,10.0,2.0,2.0,1.0,14.0,14.0,0.0,2.0
CARABANCHEL,3.0,9.0,49.0,52.0,57.0,41.0,9.0,25.0,5.0,28.0,3.0,9.0,54.0
CENTRO,16.0,17.0,44.0,63.0,67.0,182.0,31.0,92.0,5.0,181.0,50.0,111.0,16.0
CHAMARTÍN,0.0,6.0,62.0,71.0,12.0,17.0,6.0,10.0,1.0,59.0,52.0,13.0,9.0
CHAMBERÍ,0.0,2.0,38.0,41.0,20.0,12.0,3.0,6.0,2.0,32.0,5.0,1.0,6.0
CIUDAD LINEAL,1.0,11.0,47.0,60.0,27.0,45.0,12.0,12.0,5.0,68.0,1.0,0.0,6.0
FUENCARRAL - EL PARDO,3.0,51.0,37.0,52.0,34.0,12.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0
HORTALEZA,6.0,60.0,30.0,36.0,14.0,22.0,5.0,5.0,1.0,16.0,2.0,1.0,3.0
LATINA,0.0,20.0,35.0,62.0,31.0,42.0,8.0,10.0,11.0,29.0,3.0,6.0,25.0
MONCLOA - ARAVACA,0.0,13.0,38.0,45.0,8.0,12.0,12.0,13.0,1.0,30.0,5.0,1.0,3.0
MORATALAZ,1.0,33.0,14.0,24.0,6.0,8.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0
OTRAS COMISARÍAS,,,,,16.0,,,,,,,,
PUENTE DE VALLECAS,3.0,23.0,48.0,94.0,55.0,72.0,16.0,47.0,14.0,67.0,4.0,5.0,16.0
RETIRO,5.0,10.0,35.0,57.0,10.0,13.0,2.0,6.0,0.0,11.0,1.0,20.0,7.0
SALAMANCA,3.0,16.0,57.0,70.0,20.0,50.0,4.0,39.0,2.0,5.0,0.0,2.0,2.0
SAN BLAS - CANILLEJAS,3.0,33.0,32.0,43.0,23.0,18.0,6.0,10.0,1.0,14.0,1.0,2.0,13.0
SIN DISTRITO ASIGNADO,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETUÁN,5.0,17.0,44.0,36.0,23.0,30.0,9.0,8.0,3.0,9.0,2.0,5.0,5.0
TOTAL,57.0,410.0,736.0,994.0,511.0,655.0,143.0,320.0,67.0,668.0,163.0,217.0,227.0
USERA,3.0,7.0,27.0,34.0,27.0,12.0,2.0,1.0,5.0,9.0,5.0,13.0,36.0
VICÁLVARO,2.0,6.0,17.0,20.0,7.0,4.0,1.0,6.0,1.0,7.0,3.0,0.0,0.0
VILLA DE VALLECAS,1.0,0.0,18.0,33.0,18.0,12.0,3.0,5.0,1.0,18.0,4.0,1.0,2.0
VILLAVERDE,2.0,48.0,27.0,38.0,14.0,20.0,7.0,9.0,1.0,27.0,5.0,27.0,16.0
