,N°,Prom.,Desv. est.,Mín.,25%,50%,75%,Máx.
Precio,245524.0,2429.337702220557,2831.0752511370492,45.0,1000.0,1600.0,2800.0,50000.0
Habitaciones,231364.0,2.5843432859044624,1.3972335904011004,1.0,2.0,2.0,3.0,73.0
Baños,214280.0,1.8884403584095575,1.186661240940255,1.0,1.0,2.0,2.0,22.0
Metros cuadrados,245524.0,142.35831527671428,151.08863663295128,25.0,68.0,95.0,145.0,950.0
Planta,94914.0,3.362464968287081,2.3404040573915994,1.0,2.0,3.0,4.0,20.0
Latitud,181790.0,39.422241940563886,1.694047309358569,28.0997,37.5192586,40.4053607,40.443697,43.487
Longitud,181790.0,-3.103224610935536,2.03336704175612,-15.4134,-3.771562775451811,-3.6876036,-3.416171717,3.1148
mes_publicado,245524.0,7.280477672243854,2.1214601972120284,1.0,6.0,7.0,9.0,12.0
Precio por m²,245524.0,20.080011191460912,14.757681560745938,0.03529411764705882,11.428571428571429,17.142857142857142,25.0,967.78125
