precio,sub_descr,href,ubicacion,habitaciones,banios,mt2,otros,publicado_hace,plataforma,CCAA,fuente_datos,alquiler_venta,fecha_extract,latitude,longitude,planta
220000.0,Chalet en calle de Cervantes,/comprar/chalet-daganzo_de_arriba_centro_urbano-42584780385_100500/,Daganzo de Arriba,4.0,2.0,136.0,"Casa en pleno centro de daganzo totalmente a reformar con 136m² construidos sobre parcela de 160m². 

Actualmente esta vivienda cu...",,,madrid,pisos.com,venta,2024-06-30,40.544377,-3.4587082,
585000.0,"Ático en Rejas, Las Mercedes",/comprar/atico-rejas28022-24207541862_101000/,Rejas (Distrito San Blas. Madrid Capital),3.0,2.0,146.0,"Producto para inversión ( actualmente alquilado) en la mejor urbanización de la zona. Ático con terraza de 30 m² , gran salón, coc...",,,madrid,pisos.com,venta,2024-06-30,40.4449315,-3.5765296,
650000.0,Casa unifamiliar en La Navata,/comprar/casa_unifamiliar-galapagar_la_navata28420-41757279215_101000/,La Navata (Galapagar),5.0,5.0,466.0,"Chalet independiente del 2008 con piscina y excelentes vistas.
Ubicado en la navata, con estación de tren y autobuses directos a m...",,,madrid,pisos.com,venta,2024-06-30,40.5950413,-3.9781857,
609000.0,Piso en calle de Martínez Izquierdo,/comprar/piso-guindalera28028-41759344875_101800/,Guindalera (Distrito Salamanca. Madrid Capital),2.0,2.0,89.0,"Ubicado en una de las zonas más codiciadas de la ciudad, este impresionante piso reformado ofrece una combinación perfecta de esti...",,,madrid,pisos.com,venta,2024-06-30,40.4354017,-3.6646618,3.0
950000.0,"Chalet en calle Francisco de Pizarro, 8",/comprar/chalet-sector_b28660-8808473747_109700/,Sector B (Boadilla del Monte),5.0,3.0,432.0,Chalet e. Chalet de obra nueva de 432 m² de superficie construida y emplazado en la zona de boadilla del monte. Está dispuesto en ...,,,madrid,pisos.com,venta,2024-06-30,40.414472959,-3.911606107,
3250000.0,Piso en calle de María de Molina,/comprar/piso-chamartin_el_viso28006-39180480477_101800/,El Viso (Distrito Chamartín. Madrid Capital),5.0,4.0,340.0,"Espectacular piso totalmente exterior en todo su perímetro, con unas vistas panorámicas de madrid. Ubicado en una planta alta sin ...",,,madrid,pisos.com,venta,2024-06-30,40.437989221,-3.689627648,11.0
556000.0,"Casa unifamiliar en callejón de Santa Juana, 4",/comprar/casa_unifamiliar-cubas_de_la_sagra_centro_urbano-37538210941_101000/,Cubas de La Sagra,5.0,3.0,450.0,"Increíble casa singular en el centro de cubas. No podrás resistirte a esta encantadora casa de labranza del año 1900,reformada por...",,,madrid,pisos.com,venta,2024-06-30,40.19037489999999,-3.838202,
325000.0,Casa en Camino de Valdetorres,/comprar/casa-fuente_el_saz_de_jarama_centro_urbano-28372171020_516971/,Fuente el Saz de Jarama,3.0,1.0,300.0,"Lar vende casa superficie total 300 m²,  superficie solar 2858 m² con árboles frutales, 1 
 Hab. Individual, 2,habitaciones dobles...",,,madrid,pisos.com,venta,2024-06-30,40.6366515,-3.5153767,
265000.0,Apartamento en calle Doctor Esquerdo,/comprar/apartamento-goya28028-43339320550_100500/,Goya (Distrito Salamanca. Madrid Capital),1.0,1.0,57.0,"Agencia inmobiliaria ds realtors le ofrece, sin honorarios de agencia, esta fantástica vivienda en barrio de salamanca/fuente del ...",,,madrid,pisos.com,venta,2024-06-30,40.4254435,-3.6683452,
166900.0,Piso en calle de La Rioja,/comprar/piso-leganes_zarzaquemada28915-41726097728_100200/,Zarzaquemada (Leganés),2.0,,55.0,Tecnocasa zarzaquemada rioja pone a su disposición vivienda muy luminosa en la zona de trabenco. El inmueble se compone de entrada...,,,madrid,pisos.com,venta,2024-06-30,40.3343312,-3.7491785,7.0
