precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
3.800 €/mes;Piso en calle de Diego de León;/alquilar/piso-lista_barrio28006-39209289473_524350/;Lista (Distrito Salamanca. Madrid Capital);4 habs.;4 baños;223 m²;6ª planta;"Oasis House alquila esta exclusiva vivienda del Barrio de Salamanca, ubicada en la sexta planta de una finca moderna, con portero físico y servicios centrales. La casa cuenta con un espectacular salón comedor de alrededor de 70m2, con cuatro ventanales que proporcionan una fabulosa luz natural a la estancia.
En la zona de descanso, encontramos tres amplios dormitorios, todos ellos en suite con armarios empotrados totalmente vestidos.
La cocina tiene un office de diario, entrada independiente , dormitorio y baño completo, además cuenta con una terraza tendedero.
Ubicado en una de las calles más representativas del Barrio de Salamanca, está rodeado de un amplia oferta de ocio y restauración, tiene todos los servicios al alcance y esta perfectamente comunicado. La vivienda tiene calefacción central,  aire acondicionado y dos plazas de garaje.
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo de los propietarios. Pueden verlos accediendo a nuestra WEB theoasishouse.es 
Llámanos para una visita. Si te encuentras fuera de Madrid no te preocupes, haremos una visita virtual guiada

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad";40,4344598;-3,6771508
3.200 €/mes;Piso en Hispanoamérica;/alquilar/piso-chamartin_hispanoamerica28036-39177817960_524350/;Hispanoamérica (Distrito Chamartín. Madrid Capital);4 habs.;5 baños;233 m²;2ª planta;"Oasis House alquila esta fantástica vivienda en el exclusivo barrio de Chamartín. La casa cuenta con un amplio hall de entrada, que da paso a un espectacular salón en dos ambientes más una zona que se puede destinar tanto para  despacho, cuarto de estar, sala de juegos o comedor. La cocina está equipada, tiene despensa, zona de lavandería, dormitorio de servicio y baño completo. En la zona de descanso hay tres amplios dormitorios, uno de ellos tiene acceso a una terraza orientación sur. El dormitorio principal es en suite y tiene  una amplia zona de armarios . Los otros dos dormitorios comparten un baño y además hay otro de invitados. Toda la casa tiene grandes ventanales y por su orientación goza de una espectacular luz natural. Cuenta con una ubicación privilegiada al estar rodeado de zonas verdes, por su cercanía al centro financiero, a los comercios mas exclusivos de la cuidad, los mejores colegios y tener al alcance todos los servicios además de una amplia oferta de ocio y restauración. el inmueble se completa con una plaza de garaje de acceso directo y un trastero comunitario.

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad

Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web WEB theoasishouse.es";40,4591968;-3,6875158
3.200 €/mes;Piso en Avenida de Alberto Alcocer;/alquilar/piso-nueva_espana28036-39226517224_524350/;Nueva España (Distrito Chamartín. Madrid Capital);4 habs.;5 baños;233 m²;2ª planta;"Oasis House alquila esta fantástica vivienda en el exclusivo barrio de Nueva España. La casa cuenta con un amplio hall de entrada, que da paso a un espectacular salón en dos ambientes más una zona que se puede destinar tanto para  despacho, cuarto de estar, sala de juegos o comedor. La cocina está equipada, tiene despensa, zona de lavandería, dormitorio de servicio y baño completo. En la zona de descanso hay tres amplios dormitorios, uno de ellos tiene acceso a una terraza orientación sur. El dormitorio principal es en suite y tiene  una amplia zona de armarios . Los otros dos dormitorios comparten un baño y además hay otro de invitados. Toda la casa tiene grandes ventanales y por su orientación goza de una espectacular luz natural. Cuenta con una ubicación privilegiada al estar rodeado de zonas verdes, por su cercanía al centro financiero, a los comercios mas exclusivos de la cuidad, los mejores colegios y tener al alcance todos los servicios además de una amplia oferta de ocio y restauración. el inmueble se completa con una plaza de garaje de acceso directo y un trastero comunitario.

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad

Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web WEB theoasishouse.es";40,4592215;-3,6888113
825 €/mes;Piso en Villaverde;/alquilar/piso-villaverde_san_andres28021-40056012414_100500/;San Andrés (Distrito Villaverde. Madrid Capital);1 hab.;1 baño;51 m²;6ª planta;Vivienda espectacular, reformada, de 1 dormitorio, salón bastante amplio, cocina estilo francesa y cuarto de baño con plato de duc...;40.3433459;-3.7034975
1.700 €/mes;Piso en calle Orense;/alquilar/piso-tetuan_cuatro_caminos28020-39253610014_513149/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);3 habs.;2 baños;128 m²;3ª planta;Magnifico piso en calle orense, exterior, luminoso y con maravillosa ubicación junto a una de las zonas comerciales l de madrid. R...;40.4615772;-3.693726
2.950 €/mes;Piso en calle de Francisco Gervás;/alquilar/piso-castillejos28020-40045634216_100500/;Castillejos (Distrito Tetuán. Madrid Capital);6 habs.;3 baños;183 m²;2ª planta;"Boher gestión inmobiliaria:
 Alquila en una de las zonas mas demandadas de chamartín, zona cuzco, calle francisco gervás, magnífic...";40.4609203;-3.6922974
850 €/mes;Apartamento en calle de Juan de Arespacochaga y Felipe;/alquilar/apartamento-san_blas_simancas28037-5839812733_101800/;Simancas (Distrito San Blas. Madrid Capital);1 hab.;1 baño;45 m²;3ª planta;"Gran oportunidad, maravilloso apartamento, muy luminoso todo el año, totalmente amueblado y equipado para entrar a vivir. 
Dispone...";40.4344263;-3.6244133
2.600 €/mes;Piso en calle de Goya;/alquilar/piso-ibiza28009-39236354884_500635/;Ibiza (Distrito Retiro. Madrid Capital);2 habs.;2 baños;120 m²;4ª planta;Luxcasa ofrece excepcional vivienda de lujo en la calle de goya, totalmente amueblada y equipada, exterior, orientacion sur y ulti...;40.424763;-3.6716955
1.750 €/mes;Piso en calle de Maudes;/alquilar/piso-rios_rosas28003-40062356437_100500/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 habs.;1 baño;70 m²;1ª planta;"Este piso se encuentra en calle de maudes, madrid, madrid, situado en el distrito de chamberí.

Este piso se encuentra en calle de...";40.4453491;-3.7000929
1.750 €/mes;Piso en calle de la Sierra de Atapuerca, 62;/alquilar/piso-fuencarral_el_pardo_las_tablas28050-39200174684_100500/;Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;2 baños;180 m²;2ª planta;¡Estrena en alquiler! Fantástica promoción de viviendas de lujo. Pisos de tres amplias habitaciones con dos cuartos de baño. Dormi...;40.5079;-3.66424
