precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
240.000 €;Piso en Palacio;/comprar/piso-centro_palacio28005-35075249445_100200/;Palacio (Distrito Centro. Madrid Capital);1 hab.;1 baño;48 m²;3ª planta;Agencia inmobiliaria de madrid zona lavapies - embajadores - tirso de molina tecnocasa estudio real de lavapies sl vende piso exte...;40.411080911;-3.714038396
449.000 €;Piso en Justicia;/comprar/piso-justicia_chueca28004-40005582456_105100/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;1 baño;83 m²;5ª planta;Vivienda2 lanza al mercado en el centro de madrid, en el barrio de justicia, uno de los más exlusivos y demandandos de la capital ...;40.4223172;-3.6985394
1.299.000 €;Piso en calle de la Montera;/comprar/piso-cortes_huertas28013-39202678552_524671/;Cortes-Huertas (Distrito Centro. Madrid Capital);4 habs.;4 baños;195 m²;4ª planta;Studios y proyectos madrid presenta esta extraordinaria vivienda reformada, estratégicamente ubicada en la zona de sol, ocupando u...;40.4180901;-3.7026798
1.350.000 €;Piso en calle de Alonso Cano;/comprar/piso-chamberi_almagro28010-38399860198_101800/;Almagro (Distrito Chamberí. Madrid Capital);6 habs.;2 baños;238 m²;3ª planta;Walter haus tiene el placer de presentarle esta gran oportunidad, fantástico piso exterior distribuido en 238 m², techos altos, co...;40.4371119;-3.6980189
829.000 €;Piso en Carrera San Jerónimo, 10;/comprar/piso-sol_barrio28014-34227259900_109300/;Sol (Distrito Centro. Madrid Capital);2 habs.;2 baños;84 m²;;"Piso totalmente reformado - los jeronimos - excelente ubicacion 
4ª planta exterior - 84 m² construidos - 67 m² útiles

El inmuebl...";40.41776202;-3.70060267
1.339.000 €;Piso en calle de Juan Bravo, 69;/comprar/piso-lista_barrio28006-39248220378_109300/;Lista (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;125 m²;3ª planta;"¡Bienvenidos a este espectacular piso en venta! 

Este inmueble ha sido reformado, ofreciendo acabados de alta calidad y un diseño...";40.4314025;-3.67450727
1.100.000 €;Chalet pareado en Peñagrande;/comprar/chalet_pareado-ciudad_universitaria28035-29204937138_102100/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);4 habs.;5 baños;365 m²;;Gilmar mirasierra - puerta de hierro les ofrece este cómoda y moderno chalet de 365m² en parcela de 273m², con piscina común con d...;40.457799162;-3.713064523
1.199.000 €;Piso en calle de Manuela Malasaña;/comprar/piso-justicia_chueca28004-37584243689_524671/;Justicia-Chueca (Distrito Centro. Madrid Capital);3 habs.;3 baños;134 m²;2ª planta;"Studios y proyectos madrid comercializa piso reformado y equipado con 2 balcones en malasaña
Presenta oportunidad única de adquiri...";40.4285276;-3.7032374
165.000 €;Piso en Simancas;/comprar/piso-san_blas_simancas28037-38394686725_101000/;Simancas (Distrito San Blas. Madrid Capital);2 habs.;1 baño;52 m²;;"Alfa ofrece vivienda en venta en la zona de simancas, muy próxima al metro de simancas y a varias lineas de autobuses.
Se distribu...";40.4291175;-3.6247491
173.000 €;Piso en Moscardó;/comprar/piso-moscardo28026-37581553323_100200/;Moscardó (Distrito Usera. Madrid Capital);3 habs.;1 baño;83 m²;;"Agencia inmobiliaria de madrid - zona usera - moscardo - plaza elíptica
Vende exclusiva vivienda en plaza pintor lucas compuesta d...";40.388056;-3.7110507
