precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
2.500 €/mes;Piso en calle de Fuencarral, 74;/alquilar/piso-justicia_chueca28004-42544044363_527794/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 habs.;2 baños;94 m²;3ª planta;"Excelente oportunidad de alquiler para larga estancia.
Piso con 2 dormitorios, el principal con baño en suite y pequeño espacio ve...";40.42519;-3.7007356
2.500 €/mes;Piso en calle de Ángel Muñoz;/alquilar/piso-san_juan_bautista28043-41713099037_500635/;San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital);4 habs.;2 baños;180 m²;1ª planta;"Luxcasa alquila esplendida vivienda en la mejor zona de arturo soria, junto parada de metro y hospital hm nuevo belen.

Amplia viv...";40.4548928;-3.6561839
3.200 €/mes;Piso en calle del Caballero de Gracia;/alquilar/piso-sol_barrio28013-42510912285_100500/;Sol (Distrito Centro. Madrid Capital);2 habs.;2 baños;127 m²;2ª planta;"Civitas inmobiliaria ofrece un fantástico apartamento en calle caballero de gracia.

La vivienda está completamente equipada, cuen...";40.4192469;-3.7000127
2.900 €/mes;Piso en calle de Andrés Torrejón;/alquilar/piso-jeronimos28014-41690792080_100500/;Jerónimos (Distrito Retiro. Madrid Capital);3 habs.;2 baños;199 m²;7ª planta;"Domum realty alquila: ¡Espectacular vivienda completamente reformada, muy cercana al parque del retiro!

** disponible para el 1 d...";40.4080101;-3.682517
1.000 €/mes;Apartamento en calle del Caballero de Gracia, 22;/alquilar/apartamento-sol_barrio28013-17549155548_101800/;Sol (Distrito Centro. Madrid Capital);1 hab.;1 baño;45 m²;3ª planta;Se alquila estupenda vivienda totalmente amueblada. Se trata de una tercera planta, interior con ascensor, de unos 49 m² construid...;40.4193;-3.69995
1.100 €/mes;Estudio en calle de José María de Castro;/alquilar/estudio-tetuan_cuatro_caminos28020-42595457198_516270/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);1 hab.;1 baño;35 m²;;Excelente estudio, amueblado y con electrodomésticos, 2 planta, exterior, con ascensor y casi a estrenar, en inmejorables condicio...;40.4527986;-3.7000046
1.000 €/mes;Piso en calle de Fundadores;/alquilar/piso-fuente_del_berro28028-865837337_100500/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 hab.;1 baño;50 m²;4ª planta;¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmad...;40.424629;-3.6682907
2.000 €/mes;Piso en calle de la Princesa;/alquilar/piso-moncloa_aravaca_arguelles28008-42516849488_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);;;72 m²;13ª planta;"''agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa alquila:
Vivienda exterior, con esp...";40.4254418;-3.7127826
7.000 €/mes;Chalet en Hortaleza;/alquilar/chalet-piovera28043-38406987633_109300/;Piovera (Distrito Hortaleza. Madrid Capital);6 habs.;6 baños;600 m²;;En la zona de arturo soria, al lado del conde orgaz, se alquila un impresionante chalet con 6 habitaciones y 6 baños. Con magnific...;40.4554985;-3.6484816
1.800 €/mes;Piso en calle de las Adelfas;/alquilar/piso-adelfas28007-42580615490_526198/;Adelfas (Distrito Retiro. Madrid Capital);3 habs.;2 baños;87 m²;3ª planta;"Se alquila piso muy luminoso y tranquilo ya que da a gran patio de manzana.

Tiene una reforma con los espacios muy bien aprovecha...";40.4030782;-3.6719611
1.100 €/mes;Apartamento en calle de Balmes, 1;/alquilar/apartamento-trafalgar28010-25043213229_101600/;Trafalgar (Distrito Chamberí. Madrid Capital);1 hab.;1 baño;40 m²;4ª planta;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona metro iglesia, muy centrico y buenas comunicaciones, en ...;40.4354;-3.7003
8.500 €/mes;Chalet unifamiliar en Piovera;/alquilar/chalet_unifamiliar-piovera28043-41682944155_996152/;Piovera (Distrito Hortaleza. Madrid Capital);5 habs.;7 baños;670 m²;;"Halet independiente
Superficie construida: 670 m²
Parcela: 1330 m²
5 dormitorios, 6 baños, 1 aseo
1 dormitorio servicio, 1 baño se...";40.4534163;-3.639842
1.450 €/mes;Piso en Paseo de la Tierra de Melide;/alquilar/piso-fuencarral_el_pardo_las_tablas28050-35086256891_100500/;Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital);2 habs.;2 baños;95 m²;4ª planta;Nuestra diferencia esta en la calidad y la amplitud. Aerotermia. Fantástica promoción de viviendas de lujo a estrenar. Pisos de do...;40.5074241;-3.6636939
2.300 €/mes;Ático en calle de San Epifanio;/alquilar/atico-imperial28005-10010439776_101800/;Imperial (Distrito Arganzuela. Madrid Capital);3 habs.;2 baños;98 m²;;Casas y más alquila magnífico ático en san epifanio, en la zona de paseo imperial, y muy cerca de la glorieta de pirámides, calle ...;40.400974;-3.7189962
4.950 €/mes;Casa adosada en Hortaleza;/alquilar/casa_adosada-piovera28043-42504027303_109300/;Piovera (Distrito Hortaleza. Madrid Capital);5 habs.;6 baños;450 m²;;En el conde orgaz, se alquila un espectacular chalet, sin amueblar. El conde orgaz, es una exclusiva zona de madrid que está a esc...;40.4539837;-3.6445951
3.800 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;230 m²;7ª planta;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444
1.700 €/mes;Piso en calle de Maudes;/alquilar/piso-rios_rosas28003-40062356437_100500/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 habs.;1 baño;70 m²;1ª planta;"Este piso se encuentra en calle de maudes, madrid, madrid, situado en el distrito de chamberí.

Este piso se encuentra en calle de...";40.4453491;-3.7000929
2.200 €/mes;Apartamento en La Florida-Valdemarín-Aravaca;/alquilar/apartamento-moncloa_aravaca_el_plantio-72574149946_101600/;El Plantío (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;2 baños;70 m²;;Urbanización la florida, aravaca, próximos a la avda. De valdemarín. Apartamentos en una de las zonas más exclusivas del noroeste ...;40.4672947;-3.8014291
2.500 €/mes;Piso en Ibiza;/alquilar/piso-ibiza28009-37507197337_101000/;Ibiza (Distrito Retiro. Madrid Capital);3 habs.;2 baños;95 m²;;Piso exterior con reforma a estrenar , amueblado 3 dormitorios con armarios empotrados, dos baños completos, la principal con baño...;40.4165687;-3.6727154
1.700 €/mes;Piso en calle de Bravo Murillo, 179;/alquilar/piso-bellas_vistas28020-42595831087_515177/;Bellas Vistas (Distrito Tetuán. Madrid Capital);3 habs.;1 baño;128 m²;4ª planta;Se alquila bonito piso, semireformado, de 3 dormitorios dobles y un amplio baño, amplio salón con varios ventanales y salida a la ...;40.45334;-3.703224
4.200 €/mes;Ático en calle del Príncipe de Vergara;/alquilar/atico-chamartin_el_viso28002-42560780067_996542/;El Viso (Distrito Chamartín. Madrid Capital);3 habs.;2 baños;167 m²;;"Diplomatic real  estate ofrece magnifico piso en edificio de 1982 con portal de lujo.
Distribuido en:
Salón comedor de 30 m².
3 do...";40.443633;-3.6781827
1.200 €/mes;Apartamento en calle de Churruca, 2;/alquilar/apartamento-justicia_chueca28004-10912823129_992099/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 hab.;1 baño;65 m²;3ª planta;-finca con gimnasio, piscina, solarium y calef. Central- imprescindible para alquilarlo: demostrar solvencia económica en españa c...;40.42685855249331;-3.700573880319004
1.800 €/mes;Piso en Avenida del Mediterráneo;/alquilar/piso-retiro_pacifico28007-40848486940_996542/;Pacífico (Distrito Retiro. Madrid Capital);2 habs.;1 baño;95 m²;1ª planta;Diplomatic real estate ofrece bonito piso completamente reformado de 95m² en pacifico-retiro, a escasos metros de la plaza de mari...;40.407512;-3.6763324
4.200 €/mes;Piso en calle de Fernández de la Hoz;/alquilar/piso-rios_rosas28003-42541459657_996542/;Ríos Rosas (Distrito Chamberí. Madrid Capital);3 habs.;3 baños;176 m²;2ª planta;Diplomatic real estate ofrece fantástico piso amueblado de 176m² en chamberí completamente reformado con acabados de alta calidad....;40.439194;-3.6943382
