precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
270.000 €;Piso en calle del Panizo;/comprar/piso-bellas_vistas28039-40869043167_524228/;Bellas Vistas (Distrito Tetuán. Madrid Capital);3 habs.;1 baño;70 m²;Mb urban comercializa en exclusiva esta vivienda situada en tetuán. La vivienda destaca por la terraza, la luz y por su buena dist...;40.461295;-3.7051906;2ª planta
679.000 €;Piso en calle de José Ortega y Gasset;/comprar/piso-lista_barrio28006-40860358627_109300/;Lista (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;65 m²;"Salamanca/lista
Vivienda singular se encuentra en una ubicación privilegiada en el barrio de salamanca, en pleno corazón de la met...";40.4301891;-3.6779836;
4.900.000 €;Apartamento en Recoletos;/comprar/apartamento-recoletos28001-38361499604_106200/;Recoletos (Distrito Salamanca. Madrid Capital);3 habs.;4 baños;280 m²;Lucas fox presenta esta maravillosa propiedad en una finca clásica representativa y con impresionantes vistas despejadas al parque...;40.421104165;-3.684256468;
860.000 €;Piso en calle de O'Donnell;/comprar/piso-ibiza28009-40884056579_100500/;Ibiza (Distrito Retiro. Madrid Capital);3 habs.;2 baños;116 m²;;40.420426446;-3.667155635;3ª planta
265.000 €;Apartamento en calle de Rafael Herrera;/comprar/apartamento-castilla28036-7556173135_517808/;Castilla (Distrito Chamartín. Madrid Capital);1 hab.;1 baño;39 m²;Apartamento interior. Dispone de 39 m² distribuidos en hall, cocina, salón, dormitorio y cuarto de baño. Se vende amueblado.;40.4678783;-3.6851842;4ª planta
1.390.000 €;Piso en calle de Alcalá;/comprar/piso-recoletos28001-33373365703_100500/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;70 m²;Boher gestión inmobiliaria, vende:  exclusivo piso, 3ª planta  exterior, 70 metros cuadrados, orientación sur, edificio clásico y ...;40.4216308;-3.6832308;3ª planta
1.250.000 €;Piso en calle del Doctor Fléming;/comprar/piso-nueva_espana28036-32594792915_524350/;Nueva España (Distrito Chamartín. Madrid Capital);4 habs.;3 baños;198 m²;"Oasis house les ofrece este estupendo inmueble en altura con terraza y entrada de servicio. 

Se caracteriza por sus grandes espac...";40.4626805;-3.6880002;4ª planta
340.000 €;Piso en calle de Sánchez Barcáiztegui;/comprar/piso-retiro_pacifico28007-40876888974_100500/;Pacífico (Distrito Retiro. Madrid Capital);3 habs.;1 baño;76 m²;¡Síguenos en nuestras redes sociales y sé el primero en conocer nuestras novedades en alquiler y venta! Instagram: @servifincasmad...;40.4032455;-3.6754428;3ª planta
610.700 €;Piso en Pacífico;/comprar/piso-goya28028-40889653726_102100/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;102 m²;Piso con 2 habitaciones y 2 baños, superficie util de 102 metros cuadrados, garaje 1, superficie construida 102, terraza 0,00, tra...;40.4025574;-3.6757203;
1.199.000 €;Piso en calle de Manuela Malasaña;/comprar/piso-universidad_malasana28004-38409151121_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;3 baños;134 m²;Inmueble totalmente reformado por el estudio de arquitectura arctempus, situado en la segunda planta de la calle manuela malasaña ...;40.4285314;-3.702617;2ª planta
245.000 €;Piso en calle de la Infanta Mercedes, 91;/comprar/piso-castillejos28020-3577823793_109700/;Castillejos (Distrito Tetuán. Madrid Capital);;1 baño;25 m²;1º  B. V22. Piso en un edificio de obra nueva de 25 m2 de superficie útil y ubicado en la zona de Madrid Capital, enclavado en planta 1. Está distribuido en 0 habitaciones y 1 baño completo. Incluye extras como ascensor.;40,4624735;-3,6946876;1ª planta
