OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,9857,5_63,20170530,5,63,PUERTO NAVACERRADA,,S,63,12020,,93,308,U,28,038,03803,0380301,00588,Calle,de la,Virgen de las Nieves,N,7,,,28470,01,001,,T038100,0380301001,,6,C2,4,038-001,1155,,508-2,2,3,20030331,19860101,,415334,4515518,N,Esq Ctra M-601 (Villalba-Segovia),,,
2,9672,5_16,20170530,5,16,CERCEDILLA,Posee Parking sin plazas PMRs,S,16,12006,,93,169,U,28,038,03802,0380201,00026,Calle,del,Cascajal,N,7,,,28470,01,003,,T038213,0380201011,,6,C2,4,038-001,1155,10,508-3,1,3,20030331,19860101,,410110,4510379,P,,,,
3,7202,5_23,20170530,5,23,COTOS,Con Ctra a Valdesquí,S,23,12023,,93,178,C,40,181,12001,1200101,A0046,Ctra, ,M-604 (de la A-1 al Puerto de Navacerrada),N,1,,,,01,001,,T1201,1200101001,,,C2,, ,0,,508-2,2,3,20030331,19860101,,418773,4519681,N,,,,
