OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
11,12729,5_7,20170530,5,7,ALUCHE,,I,7,35600,,90,1,U,28,079,07901,0790101,08718,Calle,de,Valmojado,N,293,,,28047,10,091,104,T07912935,0790101642,3,5,A,2,079-10-256,256,4,559-3,2,3,20030331,19860101,,435539,4471045,N,,,,
12,9425,5_72,20170530,5,72,SAN JOSE DE VALDERAS,,S,72,35604,,93,336,U,28,007,00701,0070101,00171,Calle,de,Sahagún,N,36,,,28925,02,001,,T007262,0070101001,,5,B1,3,007-006,649,60,,2,3,20030331,19860101,,430829,4467857,N,,,,
13,7903,5_77,20170530,5,77,"SERNA, LA",,S,77,35010,,93,343,U,28,058,05801,0580102,A0055,Calle, ,Barcelona,N,28,,,28941,06,001,,T058179,0580102029,,4,B2,3,058-008,683,30,582-1,2,3,20030331,19860101,,432757,4461200,P,,,,
14,12431,5_1,20170530,5,1,"AGUILAS, LAS",,I,1,35602,,93,120,U,28,079,07901,0790101,02495,Avda,del,General Fanjul,N,110,,,28044,10,174,107,T07913516,0790101528,,5,A,2,079-10-242,242,31,559-3,2,3,20030331,19860101,,433877,4470566,N,,,,
15,7728,5_104,20170530,5,104,HUMANES,,S,104,35012,,93,235,U,28,073,07301,0730199,00522,Calle, ,Cenicientos,N,26,,,28970,01,004,,T073171,0730199999,,4,B3,3,073-002,738,,582-1,2,3,20040929,20040101,,429656,4456669,P,,,,
16,11498,5_105,20170530,5,105,PARQUE POLVORANCA,,S,105,35011,,93,295,U,28,074,07402,0740299,C0026,Calle, ,Alcalde Francisco Moreno Menéndez,N,4,,,28914,01,018,,T0741409,0740299999,,4,B1,3,074-035,774,,582-1,2,3,20040929,20040101,,433549,4462945,P,,,,
17,10589,5_11,20170530,5,11,ATOCHA,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910055,0790101717,1,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,
18,12365,5_24,20170530,5,24,CUATRO VIENTOS,,I,24,35603,,92,84,U,28,079,07901,0790101,02110,Paseo,de,Extremadura,N,567,A,,28024,10,216,106,T07913753,0790101522,3,5,A,2,079-10-233,233,15,559-3,2,3,20030331,19860101,,432926,4470188,P,,,,
19,9073,5_26,20170530,5,26,DOCE DE OCTUBRE,,I,26,35702,,93,182,U,28,079,07901,0790101,01496,Avda,de,Córdoba,N,39,,,28041,12,019,122,T07913941,0790101672,,4,A,2,079-12-326,326,16,559-3,2,3,20030331,19860101,,440807,4470261,N,,,,
20,12736,5_28,20170530,5,28,EMBAJADORES,,I,28,35609,,92,10,U,28,079,07901,0790101,01925,Gta,de,Embajadores,N,1,,,28012,01,039,012,T07910437,0790101612,1,5,A,1,079-01-022,22,21,559-3,2,3,20030331,19860101,,440489,4473168,P,,,,
21,12899,5_30,20170530,5,30,FANJUL,,I,30,35601,,93,214,U,28,079,07901,0790101,02495,Avda,del,General Fanjul,N,27,,,28044,10,167,107,T07912928,0790101527,,5,A,2,079-10-241,241,22,559-3,2,3,20030331,19860101,,434873,4470831,N,,,,
22,10875,5_92,20170530,5,92,VILLAVERDE ALTO,,S,92,37001,,91,82,U,28,079,07901,0790101,45300,Calle,del,Valle de Tobalina,N,56,,,28021,17,106,171,T07916147,0790101855,3,4,A,2,079-17-484,484,70,559-3,2,3,20030331,19860101,,439643,4466082,T,,,,
23,9034,5_95,20170530,5,95,ZARZAQUEMADA,,E,95,35009,,93,374,U,28,074,07402,0740201,A0144,Avda, ,Europa,N,14,,,28919,05,001,,T074331,0740201001,,4,B1,3,074-007,746,72,,2,3,20030331,19860101,,436553,4466066,P,,,,
