OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,13554,5_33,20170530,5,33,GALAPAGAR-LA NAVATA,,S,33,10104,,93,217,U,28,061,06108,0610801,A0253,Ctra,de,Galapagar-La Navata,N,154,,,28420,01,007,,T061192,0610801019,,6,B3,3,061-002,972,25,533-2,2,3,20030331,19860101,,417036,4495038,N,,,,
2,10820,5_42,20170530,5,42,MAJADAHONDA,,S,42,10007,,92,263,U,28,080,08022,0802201,A0005,Cmno, ,Estación del Plantío,N,6,,,28221,02,015,,T080165,0802201043,,6,B2,3,080-004,979,41,559-1,2,3,20030331,19860101,,428452,4480950,P,,,,
3,10822,5_44,20170530,5,44,"MATAS, LAS",,S,44,10101,,93,270,U,28,127,12715,1271501,02753,Plaza,del,Ferrocarril,N,1,,,28290,01,008,,T127142,1271501021,,6,B2,3,127-002,1011,33,533-4,2,3,20030331,19860101,,424176,4489678,P,,,,
4,12744,5_46,20170530,5,46,MENDEZ ALVARO,,I,46,35701,,90,13,U,28,079,07901,0790101,11713,Calle,del,Ombu,N,16,,,28045,02,083,027,T07911253,0790101720,1,4,A,1,079-02-044,44,44,559-4,2,3,20030331,19860101,,442564,4472070,P,,,,
5,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
6,10823,5_55,20170530,5,55,PINAR DE LAS ROZAS,,S,55,10100,,93,297,U,28,127,12715,1271501,02710,Lugar, ,Estación Ferrocarril El Pinar,N,1,,,28232,01,032,,T127387,1271501018,,6,B2,3,127-006,1015,50,533-4,2,3,20030331,19860101,,425385,4486311,N,,,,
7,12376,5_57,20170530,5,57,PIRAMIDES,,I,57,18005,,92,85,U,28,079,07901,0790101,11748,Paseo,del,Doctor Vallejo Nágera,N,37,,,28005,02,087,022,T07910617,0790101569,1,4,A,1,079-02-027,27,75,559-3,2,3,20030331,19860101,,439748,4472893,P,,,,
8,11080,5_60,20170530,5,60,POZUELO,,S,60,10002,,93,303,U,28,115,11504,1150401,A0255,Calle, ,Estación,N,2,,,28224,02,004,,T115197,1150401010,,6,B1,3,115-009,996,53,559-1,2,3,20030331,19860101,,432259,4477916,N,,,,
9,13438,5_61,20170530,5,61,PRINCIPE PIO,Con Vía Ferrocarril,I,61,10000,,90,18,U,28,079,07901,0790101,02239,Paseo,de la,Florida,N,2,,,28008,09,010,091,T0798149,0790101315,1,6,A,1,079-09-230,230,54,559-1,2,3,20030331,19860101,,439007,4474950,N,,,,
10,9062,5_65,20170530,5,65,RECOLETOS,,I,65,18001,,92,67,U,28,079,07901,0790101,00985,Paseo,de,Recoletos,N,20,,,28001,04,005,041,T0798458,0790101325,1,1,A,1,079-04-070,70,57,559-1,2,3,20030331,19860101,,441504,4475190,N,,,,
