stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_10_18,18,BELGICA,Via de las Dos Castillas 5,40.43058,-3.80755,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_19,19,DOS CASTILLAS,Via de las Dos Castillas 11 D,40.43253,-3.80162,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_20,20,CAMPUS DE SOMOSAGUAS,Avda del Cerro SN,40.43338,-3.79525,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_10_21,21,AVENIDA DE EUROPA,Avda   Comunidad de Madrid 3,40.43931,-3.79305,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_21_810,21,Avenida de Europa,Avda  Comunidad de Madrid 3,40.43914,-3.79309,,http://www.crtm.es,2,est_10_21,,0
acc_10_21_811,21,Ascensor,Avda  Comunidad de Madrid 3,40.43953,-3.79301,,http://www.crtm.es,2,est_10_21,,0
par_10_22,22,BERNA,Calle   Plutón 1,40.44487,-3.7912,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_10_22_812,22,Berna,Calle  Plutón 1,40.44476,-3.79116,,http://www.crtm.es,2,est_10_22,,0
acc_10_22_813,22,Ascensor,Calle  Plutón 1,40.4446,-3.79116,,http://www.crtm.es,2,est_10_22,,0
par_10_23,23,ESTACION DE ARAVACA,Calle de la Golondrina 104,40.44833,-3.78591,A,http://www.crtm.es,0,,Europe/Madrid,2
est_10_10,10,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.39698,-3.77456,A,http://www.crtm.es,1,,Europe/Madrid,2
est_10_14,14,SOMOSAGUAS SUR,Calle   Veritas 4,40.41536,-3.79252,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_10_21,21,AVENIDA DE EUROPA,Avda   Comunidad de Madrid 3,40.43931,-3.79305,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_10_22,22,BERNA,Calle   Plutón 1,40.44487,-3.7912,B1,http://www.crtm.es,1,,Europe/Madrid,2
par_10_24,24,COLONIA JARDIN,Calle de Arenas de San Pedro 2,40.39698,-3.77451,A,http://www.crtm.es,0,est_10_10,,2
