OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,13554,5_33,20170530,5,33,GALAPAGAR-LA NAVATA,,S,33,10104,,93,217,U,28,061,06108,0610801,A0253,Ctra,de,Galapagar-La Navata,N,154,,,28420,01,007,,T061192,0610801019,,6,B3,3,061-002,972,25,533-2,2,3,20030331,19860101,,417036,4495038,N,,,,
2,12382,5_35,20170530,5,35,GETAFE INDUSTRIAL,Frente al nº 13,S,35,60102,,93,219,U,28,065,06503,0650301,A0408,Paseo,de,John Lennon,N,15400,,,28906,04,012,,T065648,0650301016,,4,B1,3,065-021,725,26,582-1,2,3,20030331,19860101,,439971,4462111,N,,,,
3,10822,5_44,20170530,5,44,"MATAS, LAS",,S,44,10101,,93,270,U,28,127,12715,1271501,02753,Plaza,del,Ferrocarril,N,1,,,28290,01,008,,T127142,1271501021,,6,B2,3,127-002,1011,33,533-4,2,3,20030331,19860101,,424176,4489678,P,,,,
4,10869,5_51,20170530,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T0795339,0790101267,1,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,
5,10823,5_55,20170530,5,55,PINAR DE LAS ROZAS,,S,55,10100,,93,297,U,28,127,12715,1271501,02710,Lugar, ,Estación Ferrocarril El Pinar,N,1,,,28232,01,032,,T127387,1271501018,,6,B2,3,127-006,1015,50,533-4,2,3,20030331,19860101,,425385,4486311,N,,,,
6,12381,5_56,20170530,5,56,PINTO,,S,56,60103,,93,299,U,28,113,11301,1130102,A0117,Calle,del,Ferrocarril,N,4,,,28320,01,003,,T113204,1130102006,,4,B2,3,113-005,835,51,582-3,2,3,20030331,19860101,,440252,4455150,N,,,,
7,11738,5_58,20170530,5,58,PITIS,,S,58,97100,,93,86,U,28,079,07901,0790199,45576,Ctra,a la,Estación de Pitis,N,19,,,28035,08,139,087,T079764,0790199999,2,7,A,2,079-08-158,158,52,559-1,2,3,20030331,19860101,,438601,4483172,P,,,,
8,12539,5_64,20170530,5,64,RAMON Y CAJAL,,S,64,97201,,92,311,U,28,079,07901,0790101,08431,Calle,de,San Modesto,N,50,,,28034,08,111,086,T0791097,0790101069,,7,A,2,079-08-187,187,56,559-1,2,3,20030331,19860101,,441231,4482389,N,,,,
9,12550,5_67,20170530,5,67,ROBLEDO DE CHAVELA,,S,67,10205,,93,320,U,28,125,12502,1250201,00210,Calle,de,Francisco Quevedo,N,295,,,28294,01,001,,T12515,1250201009,,6,C2,4,125-001,1166,93,532-4,2,3,20030331,19860101,,394502,4486515,T,,,,
10,1257,5_69,20170530,5,69,SAN CRISTOBAL DE LOS ANGELES,,S,69,60107,,93,329,U,28,079,07901,0790101,09529,Calle,de,Paterna,N,17,,,28021,17,044,172,T07915970,0790101859,,4,A,2,079-17-488,488,37,559-4,2,3,20030331,19860101,,442029,4466189,T,,,,
11,1248,5_70,20170530,5,70,SAN CRISTOBAL INDUSTRIAL,Ndup-E,S,70,60101,,93,330,U,28,079,07901,0790101,A0043,Acces,a la,Colonia Marconi,N,11,,,28021,17,106,171,T07916155,0790101856,,4,A,2,079-17-485,485,58,582-1,2,3,20030331,19860101,,440757,4465039,P,,,,
12,13354,5_74,20170530,5,74,SAN YAGO,,S,74,10201,,93,339,U,28,061,06106,0610601,A0561,Avda, ,Saltos del Sil,N,1,,,28292,01,009,,T06186,0610601001,,6,C1,4,061-001,971,61,533-1,2,3,20030331,19860101,,412892,4497056,N,,,,
13,12548,5_76,20170530,5,76,SANTA MARIA DE LA ALAMEDA,,S,76,10206,,93,341,U,28,135,13501,1350101,A0055,Calle, ,Doce de Octubre,N,20,,,28296,01,001,,T135128,1350101001,,6,C2,4,135-001,1169,94,532-4,2,3,20030331,19860101,,392663,4491886,T,,,,
